trial,incumbent,candidate,design,resample,n_tasks,horizon_pairs,success_shift,mean_pairs_available,min_pairs_available,method,alpha_scheme,alpha_win,alpha_guard,alpha_harm,delta,min_n,reps,p_deploy,p_harm_stop,p_any_decision,se_p_deploy,se_p_harm,p_deploy_retained_variant,p_win_gate_ever,p_guard_gate_ever,p_harm_gate_ever,stop_pair_q25_given_stop,stop_pair_median_given_stop,stop_pair_q75_given_stop,stop_pair_q25_censored,stop_pair_median_censored,stop_pair_q75_censored,deploy_pair_median,harm_pair_median,mean_frac_arrivals_after_decision,exp_frac_arrivals_saved_from_inferior,exp_frac_of_inferior_exposures_avoided,exp_frac_latency_saved,median_arrivals_started_at_decision_given_stop
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,nosplit_iut,0.05,0.05,0.05,0.03,10,20000,0.02265,0.0,0.02265,0.0010520688546858,0.0,0.02265,1.0,0.02265,0.0,50.0,116.0,198.0,,,,116.0,,0.0126197123519458,0.0063061759729272,0.0126121300065108,0.0079811455536168,235.0
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,nosplit_iut,0.05,0.05,0.05,0.03,20,20000,0.02235,0.0,0.02235,0.0010452386689172,0.0,0.02235,1.0,0.02235,0.0,55.0,119.0,198.5,,,,119.0,,0.012327157360406,0.006160067681895,0.0123199185665768,0.007794883720964,239.0
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,nosplit_iut,0.05,0.05,0.05,0.05,10,20000,0.0618,0.0,0.0618,0.001702656160239,0.0,0.0618,1.0,0.0618,0.0,81.0,159.0,229.0,,,,159.0,,0.0288882402707275,0.0144287648054145,0.0288570218053692,0.0182752645764611,321.5
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,nosplit_iut,0.05,0.05,0.05,0.05,20,20000,0.06135,0.0,0.06135,0.0016968526379741,0.0,0.06135,1.0,0.06135,0.0,83.0,160.0,231.0,,,,160.0,,0.0283499153976311,0.0141598138747884,0.028319129409567,0.0179333765425949,323.0
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,nosplit_iut,0.05,0.05,0.05,0.1,10,20000,0.40805,0.0,0.40805,0.0034752352258516,0.0,0.40815,1.0,0.40815,0.0,113.0,179.0,239.0,206.0,,,179.0,,0.1672045685279187,0.083503130287648,0.167003321768957,0.1057580894665236,361.0
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,nosplit_iut,0.05,0.05,0.05,0.1,20,20000,0.4074,0.0,0.4074,0.0034743721735012,0.0,0.4074,1.0,0.4074,0.0,114.0,180.0,239.0,206.0,,,180.0,,0.1662589678510998,0.0830297800338409,0.1660566379204156,0.1051576846512358,361.0
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,nosplit_iut,0.05,0.05,0.05,0.15,10,20000,0.87825,0.0,0.87825,0.0023122168745599,0.0,0.87825,1.0,0.87825,0.0,88.0,142.0,202.0,96.0,158.0,233.0,142.0,,0.4404267343485617,0.2199976311336717,0.4399875196781647,0.2785752251044017,287.0
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,nosplit_iut,0.05,0.05,0.05,0.15,20,20000,0.87805,0.0,0.87805,0.0023138517400646,0.0,0.87805,1.0,0.87805,0.0,89.0,143.0,202.0,96.0,159.0,233.0,143.0,,0.4382382402707276,0.2189029610829103,0.4377982181024225,0.2771869509794469,289.0
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,deploy_bonf2,0.025,0.025,0.05,0.03,10,20000,0.01035,0.0,0.01035,0.0007156422814507,0.0,0.01035,1.0,0.01035,0.0,61.0,136.0,218.5,,,,136.0,,0.005360067681895,0.0026791878172588,0.0053582813432724,0.0033949832248418,273.0
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,deploy_bonf2,0.025,0.025,0.05,0.03,20,20000,0.0103,0.0,0.0103,0.0007139296183798,0.0,0.0103,1.0,0.0103,0.0,61.25,136.5,218.75,,,,136.5,,0.0053049915397631,0.0026516920473773,0.0053032907711945,0.0033598763029393,274.5
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,deploy_bonf2,0.025,0.025,0.05,0.05,10,20000,0.03485,0.0,0.03485,0.0012968322462832,0.0,0.03485,1.0,0.03485,0.0,94.0,171.0,234.0,,,,171.0,,0.0153183587140439,0.0076539763113367,0.0153076832488903,0.0096886032924449,344.0
T1,self_test_repair,single_shot,pair_coin,perm,591,295,none,295.0,295,betting,deploy_bonf2,0.025,0.025,0.05,0.05,20,20000,0.0346,0.0,0.0346,0.0012923397386136,0.0,0.0346,1.0,0.0346,0.0,94.75,172.5,235.0,,,,172.5,,0.0150732656514382,0.007531641285956,0.0150630175035836,0.0095331840019257,347.0
