phase,scenario,method,replicates,rule_objective_true,true_guarded_win_region,measured_guarded_win_region,positive_decisions,decision_rate,ci_lower,ci_upper,mean_pairs_capped,pairs_mcse,median_pairs_among_positives
objectives,null,success_superiority,500,False,False,False,3,0.006,0.0020425962719602363,0.01749025210405338,5976.8,15.58362019676024,500.0
objectives,null,guardrails_only,500,True,False,False,392,0.784,0.7458371194720326,0.8178322551458059,4021.0,71.46925008291909,3400.0
objectives,null,guarded_win,500,False,False,False,1,0.002,0.00035313639455927456,0.011240706705146758,5990.2,9.799999999999999,1100.0
objectives,null,weighted_utility,500,False,False,False,3,0.006,0.0020425962719602363,0.01749025210405338,5976.8,15.58362019676024,500.0
objectives,null,guarded_weighted_utility,500,False,False,False,3,0.006,0.0020425962719602363,0.01749025210405338,5979.6,13.6153750177418,1300.0
objectives,null,guarded_efficiency,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,efficiency_gain,success_superiority,500,False,True,True,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,efficiency_gain,guardrails_only,500,True,True,True,386,0.772,0.7332341279039163,0.8066182308849994,4078.4,71.73952885264859,3400.0
objectives,efficiency_gain,guarded_win,500,True,True,True,386,0.772,0.7332341279039163,0.8066182308849994,4078.4,71.73952885264859,3400.0
objectives,efficiency_gain,weighted_utility,500,True,True,True,100,0.2,0.16728549897175743,0.23728910530517394,5592.2,46.31510009698768,4050.0
objectives,efficiency_gain,guarded_weighted_utility,500,True,True,True,99,0.198,0.1654311225691935,0.2351739790695841,5624.4,42.04408031315178,4100.0
objectives,efficiency_gain,guarded_efficiency,500,True,True,True,386,0.772,0.7332341279039163,0.8066182308849994,4078.4,71.73952885264859,3400.0
objectives,success_regression,success_superiority,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,success_regression,guardrails_only,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,success_regression,guarded_win,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,success_regression,weighted_utility,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,success_regression,guarded_weighted_utility,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,success_regression,guarded_efficiency,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,safety_regression,success_superiority,500,False,False,False,4,0.008,0.00311531518006224,0.020387035834105168,5956.6,21.664986112307865,600.0
objectives,safety_regression,guardrails_only,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,safety_regression,guarded_win,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,safety_regression,weighted_utility,500,True,False,False,163,0.326,0.28637531603524746,0.3682779544453728,5245.6,63.0265497385339,3900.0
objectives,safety_regression,guarded_weighted_utility,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,safety_regression,guarded_efficiency,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
objectives,joint_gain,success_superiority,500,True,True,True,500,1.0,0.9923756595384479,1.0,495.8,11.518249004090878,400.0
objectives,joint_gain,guardrails_only,500,True,True,True,500,1.0,0.9923756595384479,1.0,1485.0,33.16790949759845,1300.0
objectives,joint_gain,guarded_win,500,True,True,True,500,1.0,0.9923756595384479,1.0,1485.0,33.16790949759845,1300.0
objectives,joint_gain,weighted_utility,500,True,True,True,500,1.0,0.9923756595384479,1.0,427.0,9.58152447277806,400.0
objectives,joint_gain,guarded_weighted_utility,500,True,True,True,500,1.0,0.9923756595384479,1.0,1490.6,32.89174689839468,1300.0
objectives,joint_gain,guarded_efficiency,500,True,True,True,500,1.0,0.9923756595384479,1.0,1485.0,33.16790949759845,1300.0
objectives,weak_gain,success_superiority,500,True,True,True,31,0.062,0.044019209142681565,0.08665971310163822,5845.4,33.09907517673432,3800.0
objectives,weak_gain,guardrails_only,500,True,True,True,491,0.982,0.9661483290912607,0.990501806703803,2686.2,53.90018162453923,2400.0
objectives,weak_gain,guarded_win,500,True,True,True,14,0.028,0.01675097472075645,0.04644640267494888,5937.2,20.81775872077281,3950.0
objectives,weak_gain,weighted_utility,500,True,True,True,32,0.064,0.04569601604478943,0.08895240883768415,5824.8,35.006582833566696,3300.0
objectives,weak_gain,guarded_weighted_utility,500,True,True,True,28,0.056,0.03902562068315149,0.0797447936467069,5869.6,27.53011977798099,3500.0
objectives,weak_gain,guarded_efficiency,500,False,True,True,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
grading,identical_nondifferential,oracle_true_guarded_win,500,False,False,False,1,0.002,0.00035313639455927456,0.011240706705146758,5992.4,7.6,2200.0
grading,identical_nondifferential,measured_guarded_win,500,False,False,False,3,0.006,0.0020425962719602363,0.01749025210405338,5976.4,13.649127347735805,2200.0
grading,identical_nondifferential,bound_aware_measured_win,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
grading,harm_favorable_labels,oracle_true_guarded_win,500,False,False,True,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
grading,harm_favorable_labels,measured_guarded_win,500,True,False,True,489,0.978,0.9610391387886836,0.9876719917300725,2725.4,56.670033221541885,2400.0
grading,harm_favorable_labels,bound_aware_measured_win,500,False,False,True,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
grading,gain_adverse_labels,oracle_true_guarded_win,500,True,True,False,369,0.738,0.6977470833575388,0.7746237305827623,4016.4,72.4095876024267,3300.0
grading,gain_adverse_labels,measured_guarded_win,500,False,True,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
grading,gain_adverse_labels,bound_aware_measured_win,500,False,True,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
grading,larger_harm_nondifferential,oracle_true_guarded_win,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
grading,larger_harm_nondifferential,measured_guarded_win,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
grading,larger_harm_nondifferential,bound_aware_measured_win,500,False,False,False,0,0.0,4.336808689942018e-19,0.007624340461552241,6000.0,0.0,
