rule,data,estimate,ci,decision,reading,detail
success_only,shadow,0.0,"[-0.02974850611333089, 0.02974850611333089]",none,"E2 task-level, MODEL-BASED (independent task scores, stable episode laws, no pass/period effects; t interval approximate)",
pareto_means,shadow,,"[None, None]",A,"E2 task-level, MODEL-BASED (independent task scores, stable episode laws, no pass/period effects; t interval approximate)",d_success=0.0000 d_latency=9.676 d_tokens=243.0
utility_w=1.00/0.00/0.00,shadow,0.0,"[None, None]",none,"E2 task-level, MODEL-BASED (independent task scores, stable episode laws, no pass/period effects; t interval approximate)",u = w1*d_success - w2*rel_d_latency - w3*rel_d_tokens (point estimate only)
utility_w=0.80/0.10/0.10,shadow,-0.6917212475158411,"[None, None]",A,"E2 task-level, MODEL-BASED (independent task scores, stable episode laws, no pass/period effects; t interval approximate)",u = w1*d_success - w2*rel_d_latency - w3*rel_d_tokens (point estimate only)
utility_w=0.60/0.20/0.20,shadow,-1.3834424950316822,"[None, None]",A,"E2 task-level, MODEL-BASED (independent task scores, stable episode laws, no pass/period effects; t interval approximate)",u = w1*d_success - w2*rel_d_latency - w3*rel_d_tokens (point estimate only)
utility_w=0.50/0.25/0.25,shadow,-1.7293031187896024,"[None, None]",A,"E2 task-level, MODEL-BASED (independent task scores, stable episode laws, no pass/period effects; t interval approximate)",u = w1*d_success - w2*rel_d_latency - w3*rel_d_tokens (point estimate only)
utility_w=0.34/0.33/0.33,shadow,-2.2826801168022754,"[None, None]",A,"E2 task-level, MODEL-BASED (independent task scores, stable episode laws, no pass/period effects; t interval approximate)",u = w1*d_success - w2*rel_d_latency - w3*rel_d_tokens (point estimate only)
utility_w=0.20/0.40/0.40,shadow,-2.7668849900633643,"[None, None]",A,"E2 task-level, MODEL-BASED (independent task scores, stable episode laws, no pass/period effects; t interval approximate)",u = w1*d_success - w2*rel_d_latency - w3*rel_d_tokens (point estimate only)
hierarchical_nb,shadow,-0.6565143824027071,"[-0.7053137691326692, -0.607714995672745]",A,"E2 task-level, MODEL-BASED (independent task scores, stable episode laws, no pass/period effects; t interval approximate)",
guarded_hierarchical,shadow,-0.6565143824027071,"[-0.7053137691326692, -0.607714995672745]",A,"E2 task-level, MODEL-BASED (independent task scores, stable episode laws, no pass/period effects; t interval approximate)",NB CI > 0 and success CI lower > -0.03
conjunction_all_components,shadow,,"[None, None]",none,"E2 task-level, MODEL-BASED (independent task scores, stable episode laws, no pass/period effects; t interval approximate)",success non-inferior AND latency lower AND tokens lower (all CIs)
hierarchical_nb_betting_cs,online,-0.4711864406779661,"[-0.6281036977040566, -0.2879839302119563]",A,"R2 (iid-roster MODEL; unconditional, not conditional on the curated benchmark)",
guarded_anytime,online,-0.4711864406779661,"[-0.6281036977040566, -0.2879839302119563]",retain A,"R2 (iid-roster MODEL; unconditional, not conditional on the curated benchmark)",first_deploy=None first_harm=24; label: composite harm signal for B; incumbent A retained (not a reverse guarded approval of A; descriptive under R1)
success_only_betting_cs,online,0.05084745762711865,"[-0.07861178103139843, 0.17939767190965555]",none,"R2 (iid-roster MODEL; unconditional, not conditional on the curated benchmark)",
hierarchical_nb_normal_mixture_cs,online,-0.4711864406779661,"[-0.6540251799916925, -0.2883477013642397]",A,R1 (running conditional mean given the stated filtration; POST HOC),POST HOC (Round 9); first n with upper bound < 0: 60
success_only_normal_mixture_cs,online,0.05084745762711865,"[-0.13199128168660776, 0.23368619694084505]",none,R1 (running conditional mean given the stated filtration; POST HOC),POST HOC (Round 9)
hierarchical_nb_cluster_robust_t,shadow,-0.6565143824027073,"[-0.7054731857611716, -0.6075555790442431]",A,"E2 orientation-pair clusters (G = 296), APPROXIMATE, independent clusters assumed",POST HOC (Round 10); cluster-robust SE 0.024877
hierarchical_nb_cluster_hoeffding,shadow,-0.6565143824027073,"[-0.8144571331676458, -0.49857163163776885]",A,"E2 orientation-pair clusters, exact final-time Hoeffding, independent clusters assumed",POST HOC (Round 10); radius 0.15794
success_only_cluster_robust_t,shadow,0.0,"[-0.029459690042464605, 0.029459690042464605]",none,"E2 orientation-pair clusters (G = 296), APPROXIMATE, independent clusters assumed",POST HOC (Round 10); -0.03 margin NOT certified
success_only_cluster_hoeffding,shadow,0.0,"[-0.1579427507649385, 0.1579427507649385]",none,"E2 orientation-pair clusters, exact final-time Hoeffding, independent clusters assumed",POST HOC (Round 10); -0.03 margin NOT certified
