pair_index,n,z,decisive_tier,success_diff,n_win,n_loss,n_tie,n_succ_pos,n_succ_neg,nb_hat,succ_diff_hat,log_e_win,log_e_gate,log_e_harm,e_win,e_gate,e_harm,win_cross,gate_cross,deploy,harm
1,1,-1,0,-1,0,1,0,0,1,-1.0,-1.0,-0.1252989463988574,-0.12490879422820234,0.11133283533037641,0.8822331227435461,0.8825773950663384,1.117766877256454,False,False,False,False
2,2,-1,0,-1,0,2,0,0,2,-1.0,-1.0,-0.18679917547900793,-0.18617217086504523,0.2628855399485279,0.8296103257535086,0.8301306583639741,1.3006778347793244,False,False,False,False
3,3,-1,1,0,0,3,0,0,2,-1.0,-0.6666666666666666,-0.23028364025592696,-0.18486212940702496,0.46784894010176314,0.794308272746783,0.8312188765918674,1.5965562088517147,False,False,False,False
4,4,-1,1,0,0,4,0,0,2,-1.0,-0.5,-0.2641975829530421,-0.18354370422592492,0.7383803233959125,0.7678218161663638,0.8323154992383776,2.0925435244828257,False,False,False,False
5,5,-1,0,-1,0,5,0,0,3,-1.0,-0.6,-0.2921775648277807,-0.2274240246714787,1.0816110988670364,0.7466359479187109,0.7965829398490615,2.9494275446705833,False,False,False,False
6,6,1,0,1,1,5,0,1,3,-0.6666666666666666,-0.3333333333333333,-0.2688092812688745,-0.19241546332781345,0.35893213551443415,0.7642890059785316,0.8249640549717855,1.4317996299291256,False,False,False,False
7,7,-1,1,0,1,6,0,1,3,-0.7142857142857143,-0.2857142857142857,-0.29556270206851964,-0.19119949557899663,0.5449066537736695,0.7441127558513234,0.8259677947905126,1.724447404205512,False,False,False,False
8,8,-1,1,0,1,7,0,1,3,-0.75,-0.25,-0.31870433178637736,-0.18997654501633265,0.775733783713259,0.7270904950762777,0.8269785304838144,2.172185456842682,False,False,False,False
9,9,-1,1,0,1,8,0,1,3,-0.7777777777777778,-0.2222222222222222,-0.3391421857121273,-0.1887465448370933,1.055322960916294,0.7123811514664978,0.8279963400491901,2.8729028394236433,False,False,False,False
10,10,-1,1,0,1,9,0,1,3,-0.8,-0.2,-0.3574780474912176,-0.18750942746143373,1.38426010306484,0.6994380531942018,0.829021302577202,3.991871238582201,False,False,False,False
11,11,-1,0,-1,1,10,0,1,4,-0.8181818181818182,-0.2727272727272727,-0.3741313592534885,-0.22859968999713765,1.7597170798125705,0.6878865456307723,0.7956469752060645,5.810793171128488,False,False,False,False
12,12,-1,1,0,1,11,0,1,4,-0.8333333333333334,-0.25,-0.38940622308429473,-0.22760013096237453,2.1763464375063637,0.6774590146198066,0.7964426689337916,8.814044696670344,False,False,False,False
13,13,-1,1,0,1,12,0,1,4,-0.8461538461538461,-0.23076923076923078,-0.40353022508927605,-0.22659574025752516,2.627653633409355,0.6679578374086097,0.7972430104079007,13.84125511267044,False,False,False,False
14,14,-1,1,0,1,13,0,1,4,-0.8571428571428571,-0.21428571428571427,-0.4166781912627835,-0.22558647730132142,3.1072218372000413,0.6592330327622157,0.7980480444225677,22.358841534108823,False,False,False,False
15,15,1,0,1,2,13,0,2,4,-0.7333333333333333,-0.13333333333333333,-0.40451867497158256,-0.1913418619639513,2.05049036752999,0.6672979207638324,0.8258502131115172,7.771711166874125,False,False,False,False
16,16,-1,1,0,2,14,0,2,4,-0.75,-0.125,-0.41753974846698316,-0.19016314730473383,2.4615457190616765,0.6586653103913598,0.8268242287945394,11.722917880344209,False,False,False,False
17,17,-1,1,0,2,15,0,2,4,-0.7647058823529411,-0.11764705882352941,-0.4297455550853546,-0.1889781136497306,2.9000269473734375,0.6506746345138853,0.8278046241184288,18.174635121523973,False,False,False,False
18,18,1,0,1,3,15,0,3,4,-0.6666666666666666,-0.05555555555555555,-0.4183813747441971,-0.14886413983588165,2.019160032658266,0.6581111935705919,0.8616861757720824,7.531995645476088,False,False,False,False
19,19,-1,0,-1,3,16,0,3,5,-0.6842105263157895,-0.10526315789473684,-0.4304881824490341,-0.19534852204684316,2.4072241201243165,0.6501916051030712,0.8225479320048567,11.10309746314121,False,False,False,False
20,20,-1,1,0,3,17,0,3,5,-0.7,-0.1,-0.44190083920718237,-0.1942254774368477,2.8221403336470225,0.6428133741791051,0.8234722089313241,16.812797185167526,False,False,False,False
21,21,1,0,1,4,17,0,4,5,-0.6190476190476191,-0.047619047619047616,-0.43121613200181796,-0.1561861350472995,2.026009700885678,0.6497184706448145,0.855399955640693,7.583764413774701,False,False,False,False
22,22,-1,0,-1,4,18,0,4,6,-0.6363636363636364,-0.09090909090909091,-0.4425496253415493,-0.19968246983788385,2.395868896945522,0.6423964610333103,0.8189907660655346,10.977732434466802,False,False,False,False
23,23,-1,1,0,4,19,0,4,6,-0.6521739130434783,-0.08695652173913043,-0.4532830470029392,-0.19860892587416767,2.791235913022597,0.6355382209770465,0.8198704607697662,16.301154165781043,False,False,False,False
24,24,-1,0,-1,4,20,0,4,7,-0.6666666666666666,-0.125,-0.4634817682121879,-0.23412475200198157,3.2086066470052512,0.629089484174314,0.7912630980825095,24.744584252884266,False,False,False,True
25,25,1,0,1,5,20,0,5,7,-0.6,-0.08,-0.4538561430193111,-0.20338822424306935,2.4172710274160214,0.6351741009022006,0.8159614039291765,11.215211510657255,False,False,False,False
26,26,1,0,1,6,20,0,6,7,-0.5384615384615384,-0.038461538461538464,-0.4438143534688277,-0.16852881221442084,1.7981440091990044,0.6415845177121832,0.8449069194289077,6.038429787542399,False,False,False,False
27,27,-1,1,0,6,21,0,6,7,-0.5555555555555556,-0.037037037037037035,-0.4544206154138397,-0.16734431828442364,2.1189194340554303,0.6348156638299554,0.8459082994936078,8.322140006300428,False,False,False,False
28,28,-1,1,0,6,22,0,6,7,-0.5714285714285714,-0.03571428571428571,-0.4645107336326162,-0.16615416502651392,2.464150070488587,0.6284425057650325,0.8469156593495427,11.753488268992077,False,False,False,False
29,29,0,-1,0,6,22,1,6,7,-0.5517241379310345,-0.034482758620689655,-0.4645107336326162,-0.16495830966158254,2.464150070488587,0.6284425057650325,0.8479290538002469,11.753488268992077,False,False,False,False
30,30,-1,1,0,6,23,1,6,7,-0.5666666666666667,-0.03333333333333333,-0.4741364187299415,-0.16375670902714523,2.831288283428257,0.6224223367111005,0.8489485382731812,16.967305448917998,False,False,False,False
31,31,-1,1,0,6,24,1,6,7,-0.5806451612903226,-0.03225806451612903,-0.48334195084067,-0.16254931957378638,3.217800672851791,0.6167188997666181,0.8499741688278979,24.97313564381095,False,False,False,True
32,32,-1,1,0,6,25,1,6,7,-0.59375,-0.03125,-0.4921655314655289,-0.16133609736157606,3.621340282725655,0.6113011678787185,0.8510060021643228,37.38764427002634,False,False,False,True
33,33,1,0,1,7,25,1,7,7,-0.5454545454545454,0.0,-0.48376193901338915,-0.12030810837936645,2.8880498656326776,0.6164599395067534,0.8866472111924719,17.95825442237893,False,False,False,False
34,34,1,0,1,8,25,1,8,7,-0.5,0.029411764705882353,-0.47504919359075704,-0.072854497584109,2.279518862881434,0.6218544644585259,0.9297360990331208,9.771977617122237,False,False,False,False
35,35,-1,1,0,8,26,1,8,7,-0.5142857142857142,0.02857142857142857,-0.4841773212027243,-0.07119830265733773,2.611294051593197,0.6162039262028082,0.9312771990723414,13.616660116442837,False,False,False,False
36,36,0,-1,0,8,26,2,8,7,-0.5,0.027777777777777776,-0.4841773212027243,-0.06953290148077107,2.611294051593197,0.6162039262028082,0.9328294414097238,13.616660116442837,False,False,False,False
37,37,0,-1,0,8,26,3,8,7,-0.4864864864864865,0.02702702702702703,-0.4841773212027243,-0.06785822093675797,2.611294051593197,0.6162039262028082,0.9343929415423515,13.616660116442837,False,False,False,False
38,38,0,-1,0,8,26,4,8,7,-0.47368421052631576,0.02631578947368421,-0.4841773212027243,-0.06617418727718416,2.611294051593197,0.6162039262028082,0.9359678164061257,13.616660116442837,False,False,False,False
39,39,-1,0,-1,8,27,4,8,8,-0.48717948717948717,0.0,-0.492933096349482,-0.12253464888516907,2.9616691062977085,0.6108321345985007,0.8846752514012334,19.330209017917536,False,False,False,False
