tolerance,order,eligibility,shadow_nb,shadow_nb_lo,shadow_nb_hi,shadow_decision,online_nb,online_nb_lo,online_nb_hi,online_guarded,online_first_deploy
0.0,success>latency_s>completion_tokens,absorbing,-0.6615905245346868,-0.7102816259121943,-0.6128994231571793,A,-0.47457627118644075,-0.6216668701171876,-0.304093017578125,B_harmful,
0.0,success>completion_tokens>latency_s,absorbing,-0.6615905245346868,-0.7102816259121943,-0.6128994231571793,A,-0.47457627118644075,-0.6216668701171876,-0.304093017578125,B_harmful,
0.0,latency_s>success>completion_tokens,none,-0.9966159052453467,-1.0032622433299199,-0.9899695671607734,A,-0.9593220338983051,-1.0,-0.878377685546875,B_harmful,
0.0,completion_tokens>success>latency_s,none,-0.9966159052453467,-1.0032622433299199,-0.9899695671607734,A,-0.9593220338983051,-1.0,-0.878377685546875,B_harmful,
0.1,success>latency_s>completion_tokens,absorbing,-0.6565143824027071,-0.7053137691326692,-0.607714995672745,A,-0.4711864406779661,-0.6183721923828126,-0.30083068847656247,B_harmful,
0.1,success>completion_tokens>latency_s,absorbing,-0.6565143824027071,-0.7053137691326692,-0.607714995672745,A,-0.4711864406779661,-0.6183721923828126,-0.30083068847656247,B_harmful,
0.1,latency_s>success>completion_tokens,none,-0.991539763113367,-1.0003128611121332,-0.9827666651146009,A,-0.9559322033898305,-1.0,-0.8744683837890626,B_harmful,
0.1,completion_tokens>success>latency_s,none,-0.991539763113367,-1.0003128611121332,-0.9827666651146009,A,-0.9559322033898305,-1.0,-0.8744683837890626,B_harmful,
0.2,success>latency_s>completion_tokens,absorbing,-0.6582064297800336,-0.7067427492699917,-0.6096701102900756,A,-0.46101694915254243,-0.6084716796874999,-0.29105712890625,B_harmful,
0.2,success>completion_tokens>latency_s,absorbing,-0.6582064297800336,-0.7067427492699917,-0.6096701102900756,A,-0.46101694915254243,-0.6084716796874999,-0.29105712890625,B_harmful,
0.2,latency_s>success>completion_tokens,none,-0.991539763113367,-0.9989453628930326,-0.9841341633337014,A,-0.9254237288135594,-0.98722412109375,-0.8325140380859375,B_harmful,
0.2,completion_tokens>success>latency_s,none,-0.991539763113367,-0.9989453628930326,-0.9841341633337014,A,-0.9186440677966101,-0.9822698974609374,-0.8228021240234374,B_harmful,
