n,nb_hat,r1_radius,r1_nb_lo,r1_nb_hi,r2_nb_lo,r2_nb_hi,succ_diff_hat,r1_sd_lo,r1_sd_hi,r2_sd_lo,r2_sd_hi,r2_wr_lo,r2_wr_hi
1,-1.0,24.61996959125003,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,inf
2,-1.0,12.380925367164851,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,inf
3,-1.0,8.301040128823223,-1.0,1.0,-1.0,1.0,-0.6666666666666666,-1.0,1.0,-1.0,1.0,0.0,inf
4,-1.0,6.260946748831059,-1.0,1.0,-1.0,1.0,-0.5,-1.0,1.0,-1.0,1.0,0.0,inf
5,-1.0,5.036771762484889,-1.0,1.0,-1.0,1.0,-0.6,-1.0,1.0,-1.0,1.0,0.0,inf
6,-0.6666666666666666,4.220557316590717,-1.0,1.0,-1.0,1.0,-0.3333333333333333,-1.0,1.0,-1.0,1.0,0.0,inf
7,-0.7142857142857143,3.6374643049717923,-1.0,1.0,-1.0,1.0,-0.2857142857142857,-1.0,1.0,-1.0,1.0,0.0,inf
8,-0.75,3.2000731523141677,-1.0,1.0,-1.0,1.0,-0.25,-1.0,1.0,-1.0,1.0,0.0,inf
9,-0.7777777777777778,2.8598174087553745,-1.0,1.0,-1.0,1.0,-0.2222222222222222,-1.0,1.0,-1.0,1.0,0.0,inf
10,-0.8,2.5875571876972185,-1.0,1.0,-1.0,1.0,-0.2,-1.0,1.0,-1.0,1.0,0.0,inf
11,-0.8181818181818182,2.3647489102465418,-1.0,1.0,-1.0,0.9679628285494717,-0.2727272727272727,-1.0,1.0,-1.0,1.0,0.0,61.42748374613554
12,-0.8333333333333334,2.17903017741851,-1.0,1.0,-1.0,0.7680133506655693,-0.25,-1.0,1.0,-1.0,1.0,0.0,7.62118576968975
13,-0.8461538461538461,2.021842393615672,-1.0,1.0,-1.0,0.6053218291356013,-0.23076923076923078,-1.0,1.0,-1.0,1.0,0.0,4.067419856587783
14,-0.8571428571428571,1.8870722657455707,-1.0,1.0,-1.0,0.4704076690333229,-0.21428571428571427,-1.0,1.0,-1.0,1.0,0.0,2.7764897319214414
15,-0.7333333333333333,1.7702367026795045,-1.0,1.0,-1.0,0.5291105528672535,-0.13333333333333333,-1.0,1.0,-1.0,1.0,0.0,3.247281420677468
16,-0.75,1.6679733774037049,-1.0,0.9179733774037049,-1.0,0.4238467253744602,-0.125,-1.0,1.0,-1.0,1.0,0.0,2.4712985035099613
17,-0.7647058823529411,1.5777110907547474,-1.0,0.8130052084018062,-1.0,0.3326753640876098,-0.11764705882352941,-1.0,1.0,-1.0,0.9382421681109597,0.0,1.9970420577467953
18,-0.6666666666666666,1.4974500139013025,-1.0,0.8307833472346359,-1.0,0.3915887922048569,-0.05555555555555555,-1.0,1.0,-1.0,0.9430981278419495,0.0,2.287250422699997
19,-0.6842105263157895,1.4256113279291984,-1.0,0.7414008016134089,-1.0,0.3156387429488333,-0.10526315789473684,-1.0,1.0,-1.0,0.8412650541255349,0.0,1.9224331146648606
20,-0.7,1.360931971543979,-1.0,0.660931971543979,-1.0,0.24800520241260526,-0.1,-1.0,1.0,-0.9913149803876877,0.7930259644985198,0.0,1.6595928674194929
21,-0.6190476190476191,1.302389460852082,-1.0,0.683341841804463,-1.0,0.30292525745573495,-0.047619047619047616,-1.0,1.0,-0.9006912679899306,0.8066715810980116,0.0,1.8691327886880051
22,-0.6363636363636364,1.2491472128322665,-1.0,0.6127835764686301,-1.0,0.24422323703765872,-0.09090909090909091,-1.0,1.0,-0.9067009443586524,0.7277467792684382,0.0,1.6462840590134087
23,-0.6521739130434783,1.2005141322439703,-1.0,0.548340219200492,-1.0,0.19094111219696375,-0.08695652173913043,-1.0,1.0,-0.8639662188032399,0.6924780633138575,0.0,1.4720079467032516
