tolerance,order,eligibility,shadow_nb,shadow_nb_lo,shadow_nb_hi,shadow_decision,online_nb,online_nb_lo,online_nb_hi,online_guarded,online_first_deploy,online_guarded_label
0.0,success>latency_s>completion_tokens,absorbing,-0.6615905245346868,-0.7102816259121943,-0.6128994231571793,A,-0.47457627118644075,-0.6313836710937955,-0.2912306909338902,B_harmful,,composite harm signal for B; incumbent A retained
0.0,success>completion_tokens>latency_s,absorbing,-0.6615905245346868,-0.7102816259121943,-0.6128994231571793,A,-0.47457627118644075,-0.6313836710937955,-0.2912306909338902,B_harmful,,composite harm signal for B; incumbent A retained
0.0,latency_s>success>completion_tokens,none,-0.9966159052453467,-1.0032622433299199,-0.9899695671607734,A,-0.9593220338983051,-1.0,-0.8707518797809795,B_harmful,,composite harm signal for B; incumbent A retained
0.0,completion_tokens>success>latency_s,none,-0.9966159052453467,-1.0032622433299199,-0.9899695671607734,A,-0.9593220338983051,-1.0,-0.8707518797809795,B_harmful,,composite harm signal for B; incumbent A retained
0.1,success>latency_s>completion_tokens,absorbing,-0.6565143824027071,-0.7053137691326692,-0.607714995672745,A,-0.4711864406779661,-0.6281036977040566,-0.2879839302119563,B_harmful,,composite harm signal for B; incumbent A retained
0.1,success>completion_tokens>latency_s,absorbing,-0.6565143824027071,-0.7053137691326692,-0.607714995672745,A,-0.4711864406779661,-0.6281036977040566,-0.2879839302119563,B_harmful,,composite harm signal for B; incumbent A retained
0.1,latency_s>success>completion_tokens,none,-0.991539763113367,-1.0003128611121332,-0.9827666651146009,A,-0.9559322033898305,-1.0,-0.8668281758740797,B_harmful,,composite harm signal for B; incumbent A retained
0.1,completion_tokens>success>latency_s,none,-0.991539763113367,-1.0003128611121332,-0.9827666651146009,A,-0.9559322033898305,-1.0,-0.8668281758740797,B_harmful,,composite harm signal for B; incumbent A retained
0.2,success>latency_s>completion_tokens,absorbing,-0.6582064297800336,-0.7067427492699917,-0.6096701102900756,A,-0.46101694915254243,-0.6182449661574121,-0.27825735489190634,B_harmful,,composite harm signal for B; incumbent A retained
0.2,success>completion_tokens>latency_s,absorbing,-0.6582064297800336,-0.7067427492699917,-0.6096701102900756,A,-0.46101694915254243,-0.6182449661574121,-0.27825735489190634,B_harmful,,composite harm signal for B; incumbent A retained
0.2,latency_s>success>completion_tokens,none,-0.991539763113367,-0.9989453628930326,-0.9841341633337014,A,-0.9254237288135594,-0.9928434283046399,-0.82423249220444,B_harmful,,composite harm signal for B; incumbent A retained
0.2,completion_tokens>success>latency_s,none,-0.991539763113367,-0.9989453628930326,-0.9841341633337014,A,-0.9186440677966101,-0.9879197136830475,-0.814333935107215,B_harmful,,composite harm signal for B; incumbent A retained
