arm,task,trial,tau2_seed,invocation_index,attempt_in_invocation,attempt_overall,n_attempts_overall,attempt_status,failure_class,is_canonical_record_source,canonical_record_basis,truncation_warnings_in_attempt,attempt_start_utc_approx,attempt_end_utc,attempt_wall_clock_s_approx,attempt_end_basis
A,1,0,626729,1,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T17:38:47Z,2026-09-18T17:39:31Z,44.2,tau2 log timestamp (local time + 4 h)
A,2,0,626729,1,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T17:39:31Z,2026-09-18T17:46:44Z,432.5,tau2 log timestamp (local time + 4 h)
A,3,0,626729,1,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T17:46:44Z,2026-09-18T17:48:16Z,92.0,tau2 log timestamp (local time + 4 h)
A,4,0,626729,1,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T17:48:16Z,2026-09-18T17:49:15Z,59.4,tau2 log timestamp (local time + 4 h)
A,5,0,626729,1,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T17:49:15Z,2026-09-18T17:51:05Z,110.2,tau2 log timestamp (local time + 4 h)
A,6,0,626729,1,1,1,7,"failed: discarded, no simulation record",request_timeout (litellm.Timeout: APITimeoutError),False,a later attempt,0,2026-09-18T17:51:05Z,2026-09-18T19:01:32Z,4226.5,tau2 log timestamp (local time + 4 h)
A,6,0,626729,1,2,2,7,"failed: discarded, no simulation record",request_timeout (litellm.Timeout: APITimeoutError),False,a later attempt,0,2026-09-18T19:01:32Z,2026-09-18T20:12:01Z,4228.9,tau2 log timestamp (local time + 4 h)
A,6,0,626729,1,3,3,7,"interrupted: tau2 process stopped by the owner while the attempt was running; no failure line, no simulation record",owner_stop_of_invocation_1,False,a later attempt,0,2026-09-18T20:12:01Z,2026-09-18T20:32:38Z,1237.1,last llama-server event of the invocation (tau2 printed no timestamped line after the retry started)
A,6,0,626729,2,1,4,7,"failed: discarded, no simulation record",json_decode_error_after_truncation (JSONDecodeError),False,a later attempt,1,2026-09-18T20:33:13Z,2026-09-18T20:34:29Z,76.2,tau2 log timestamp (local time + 4 h)
A,6,0,626729,2,2,5,7,"failed: discarded, no simulation record",json_decode_error_after_truncation (JSONDecodeError),False,a later attempt,1,2026-09-18T20:34:29Z,2026-09-18T20:35:40Z,71.0,tau2 log timestamp (local time + 4 h)
A,6,0,626729,2,3,6,7,"failed: discarded, no simulation record",json_decode_error_after_truncation (JSONDecodeError),False,a later attempt,1,2026-09-18T20:35:40Z,2026-09-18T20:36:49Z,69.1,tau2 log timestamp (local time + 4 h)
A,6,0,626729,2,4,7,7,"failed: discarded, no simulation record; last allowed attempt, tau2 then saved an infrastructure_error placeholder",json_decode_error_after_truncation (JSONDecodeError),False,placeholder written by tau2 after this attempt (attempts exhausted),1,2026-09-18T20:36:49Z,2026-09-18T20:37:59Z,69.5,tau2 log timestamp (local time + 4 h)
A,7,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T20:37:59Z,2026-09-18T20:38:33Z,33.9,tau2 log timestamp (local time + 4 h)
A,8,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T20:38:33Z,2026-09-18T20:39:57Z,84.4,tau2 log timestamp (local time + 4 h)
A,9,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T20:39:57Z,2026-09-18T20:45:05Z,307.9,tau2 log timestamp (local time + 4 h)
A,10,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T20:45:05Z,2026-09-18T20:46:09Z,64.0,tau2 log timestamp (local time + 4 h)
A,11,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T20:46:09Z,2026-09-18T20:48:09Z,120.1,tau2 log timestamp (local time + 4 h)
A,12,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T20:48:09Z,2026-09-18T20:49:47Z,97.6,tau2 log timestamp (local time + 4 h)
A,13,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T20:49:47Z,2026-09-18T20:51:30Z,103.9,tau2 log timestamp (local time + 4 h)
A,14,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T20:51:30Z,2026-09-18T20:56:12Z,281.4,tau2 log timestamp (local time + 4 h)
A,15,0,626729,2,1,1,2,"failed: discarded, no simulation record",context_window_overflow (litellm.BadRequestError),False,a later attempt,1,2026-09-18T20:56:12Z,2026-09-18T21:11:55Z,943.6,tau2 log timestamp (local time + 4 h)
A,15,0,626729,2,2,2,2,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:11:55Z,2026-09-18T21:15:40Z,224.5,tau2 log timestamp (local time + 4 h)
A,16,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:15:40Z,2026-09-18T21:19:41Z,241.0,tau2 log timestamp (local time + 4 h)
A,17,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:19:41Z,2026-09-18T21:20:27Z,46.1,tau2 log timestamp (local time + 4 h)
A,18,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:20:27Z,2026-09-18T21:21:45Z,77.7,tau2 log timestamp (local time + 4 h)
A,19,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:21:45Z,2026-09-18T21:23:23Z,98.5,tau2 log timestamp (local time + 4 h)
A,20,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:23:23Z,2026-09-18T21:27:11Z,227.6,tau2 log timestamp (local time + 4 h)
A,21,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:27:11Z,2026-09-18T21:29:57Z,165.8,tau2 log timestamp (local time + 4 h)
A,22,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,1,2026-09-18T21:29:57Z,2026-09-18T21:31:02Z,65.5,tau2 log timestamp (local time + 4 h)
A,23,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:31:02Z,2026-09-18T21:37:10Z,367.9,tau2 log timestamp (local time + 4 h)
A,24,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,1,2026-09-18T21:37:10Z,2026-09-18T21:40:42Z,211.9,tau2 log timestamp (local time + 4 h)
A,25,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:40:42Z,2026-09-18T21:42:39Z,117.0,tau2 log timestamp (local time + 4 h)
A,26,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:42:39Z,2026-09-18T21:43:04Z,25.3,tau2 log timestamp (local time + 4 h)
A,27,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:43:04Z,2026-09-18T21:43:38Z,33.4,tau2 log timestamp (local time + 4 h)
A,28,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:43:38Z,2026-09-18T21:48:32Z,294.0,tau2 log timestamp (local time + 4 h)
A,29,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:48:32Z,2026-09-18T21:54:33Z,361.3,tau2 log timestamp (local time + 4 h)
A,30,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:54:33Z,2026-09-18T21:58:47Z,253.6,tau2 log timestamp (local time + 4 h)
A,31,0,626729,2,1,1,1,completed: produced the saved record,,True,this attempt,0,2026-09-18T21:58:47Z,2026-09-18T22:02:06Z,199.4,tau2 log timestamp (local time + 4 h)
