n,observed_mean,array_mean,radius,lower,upper
1,0.0,0.0,24.61996959125003,-1.0,1.0
2,0.0,0.0,12.380925367164851,-1.0,1.0
3,0.3333333333333333,0.0,8.301040128823223,-1.0,1.0
4,0.5,0.125,6.260946748831059,-1.0,1.0
5,0.4,0.2,5.036771762484889,-1.0,1.0
6,0.5,0.25,4.220557316590717,-1.0,1.0
7,0.42857142857142855,0.21428571428571427,3.6374643049717923,-1.0,1.0
8,0.375,0.1875,3.2000731523141677,-1.0,1.0
9,0.3333333333333333,0.2222222222222222,2.8598174087553745,-1.0,1.0
10,0.3,0.2,2.5875571876972185,-1.0,1.0
11,0.36363636363636365,0.22727272727272727,2.3647489102465418,-1.0,1.0
12,0.3333333333333333,0.16666666666666666,2.17903017741851,-1.0,1.0
13,0.23076923076923078,0.11538461538461539,2.021842393615672,-1.0,1.0
14,0.21428571428571427,0.10714285714285714,1.8870722657455707,-1.0,1.0
15,0.2,0.1,1.7702367026795045,-1.0,1.0
16,0.1875,0.09375,1.6679733774037049,-1.0,1.0
17,0.17647058823529413,0.08823529411764706,1.5777110907547474,-1.0,1.0
18,0.16666666666666666,0.08333333333333333,1.4974500139013025,-1.0,1.0
19,0.10526315789473684,0.05263157894736842,1.4256113279291984,-1.0,1.0
20,0.1,0.075,1.360931971543979,-1.0,1.0
21,0.09523809523809523,0.07142857142857142,1.302389460852082,-1.0,1.0
22,0.13636363636363635,0.06818181818181818,1.2491472128322665,-1.0,1.0
23,0.13043478260869565,0.06521739130434782,1.2005141322439703,-1.0,1.0
24,0.08333333333333333,0.041666666666666664,1.1559143018037255,-1.0,1.0
25,0.12,0.06,1.114863946714772,-0.9948639467147721,1.0
26,0.11538461538461539,0.057692307692307696,1.076953715070353,-0.9615690996857376,1.0
27,0.07407407407407407,0.037037037037037035,1.0418348959413817,-0.9677608218673076,1.0
28,0.07142857142857142,0.03571428571428571,1.0092085907275499,-0.9377800192989785,1.0
29,0.034482758620689655,0.034482758620689655,0.9788171249153199,-0.9443343662946303,1.0
30,0.06666666666666667,0.05,0.9504371774813313,-0.8837705108146646,1.0
31,0.0967741935483871,0.06451612903225806,0.9238742400859197,-0.8271000465375326,1.0
32,0.09375,0.046875,0.8989581151652786,-0.8052081151652786,0.9927081151652786
33,0.06060606060606061,0.030303030303030304,0.8755392325499204,-0.8149331719438597,0.936145293155981
34,0.058823529411764705,0.029411764705882353,0.8534856160894154,-0.7946620866776507,0.9123091455011801
35,0.05714285714285714,0.02857142857142857,0.8326803702822385,-0.7755375131393814,0.8898232274250957
36,0.027777777777777776,0.013888888888888888,0.8130195857987004,-0.7852418080209226,0.8407973635764782
37,0.02702702702702703,0.013513513513513514,0.794410584646995,-0.7673835576199679,0.8214376116740221
38,0.02631578947368421,0.013157894736842105,0.7767704424165977,-0.7504546529429135,0.8030862318902818
39,0.02564102564102564,0.01282051282051282,0.760024737867243,-0.7343837122262173,0.7856657635082687
40,0.0,0.0,0.7441064900780697,-0.7441064900780697,0.7441064900780697
41,0.0,0.0,0.7289552511345186,-0.7289552511345186,0.7289552511345186
42,0.0,0.0,0.7145163284300781,-0.7145163284300781,0.7145163284300781
43,0.0,0.0,0.7007401154828344,-0.7007401154828344,0.7007401154828344
44,-0.022727272727272728,0.0,0.6875815140031528,-0.7103087867304255,0.6648542412758801
45,0.0,0.011111111111111112,0.6749994330179118,-0.6749994330179118,0.6749994330179118
46,0.021739130434782608,0.010869565217391304,0.6629563533253332,-0.6412172228905506,0.6846954837601158
47,0.02127659574468085,0.010638297872340425,0.6514179475503564,-0.6301413518056755,0.6726945432950373
48,0.020833333333333332,0.010416666666666666,0.6403527476921794,-0.619519414358846,0.6611860810255128
49,0.02040816326530612,0.01020408163265306,0.6297318533794022,-0.609323690114096,0.6501400166447083
