pair,orientation,observed_score,decisive_tier_zero_based,observed_success_difference,score_if_r0,score_if_r1,array_orientation_mean,array_success_orientation_mean
1,0,0,-1,0,0,0,0.0,0.0
2,1,0,-1,0,0,0,0.0,0.0
3,0,1,0,1,1,-1,0.0,0.0
4,0,1,0,1,1,0,0.5,0.5
5,0,0,-1,0,0,1,0.5,0.5
6,0,1,0,1,1,0,0.5,0.5
7,0,0,-1,0,0,0,0.0,0.0
8,0,0,-1,0,0,0,0.0,0.0
9,1,0,-1,0,1,0,0.5,0.5
10,1,0,-1,0,0,0,0.0,0.0
11,0,1,0,1,1,0,0.5,0.5
12,1,0,-1,0,-1,0,-0.5,-0.5
13,1,-1,0,-1,0,-1,-0.5,-0.5
14,0,0,-1,0,0,0,0.0,0.0
15,0,0,-1,0,0,0,0.0,0.0
16,1,0,-1,0,0,0,0.0,0.0
17,0,0,-1,0,0,0,0.0,0.0
18,1,0,-1,0,0,0,0.0,0.0
19,0,-1,0,-1,-1,0,-0.5,-0.5
20,1,0,-1,0,1,0,0.5,0.5
21,1,0,-1,0,0,0,0.0,0.0
22,0,1,0,1,1,-1,0.0,0.0
23,1,0,-1,0,0,0,0.0,0.0
24,1,-1,0,-1,0,-1,-0.5,-0.5
25,1,1,0,1,0,1,0.5,0.5
26,1,0,-1,0,0,0,0.0,0.0
27,1,-1,0,-1,0,-1,-0.5,-0.5
28,1,0,-1,0,0,0,0.0,0.0
29,0,-1,0,-1,-1,1,0.0,0.0
30,0,1,0,1,1,0,0.5,0.5
31,1,1,0,1,0,1,0.5,0.5
32,1,0,-1,0,-1,0,-0.5,-0.5
33,0,-1,0,-1,-1,0,-0.5,-0.5
34,0,0,-1,0,0,0,0.0,0.0
35,1,0,-1,0,0,0,0.0,0.0
36,0,-1,0,-1,-1,0,-0.5,-0.5
37,1,0,-1,0,0,0,0.0,0.0
38,0,0,-1,0,0,0,0.0,0.0
39,0,0,-1,0,0,0,0.0,0.0
40,0,-1,0,-1,-1,0,-0.5,-0.5
41,0,0,-1,0,0,0,0.0,0.0
42,0,0,-1,0,0,0,0.0,0.0
43,1,0,-1,0,0,0,0.0,0.0
44,1,-1,0,-1,1,-1,0.0,-0.5
45,1,1,0,1,0,1,0.5,0.5
46,0,1,0,1,1,-1,0.0,0.0
47,0,0,-1,0,0,0,0.0,0.0
48,0,0,-1,0,0,0,0.0,0.0
49,0,0,-1,0,0,0,0.0,0.0
