arm,task,trial,invocation_index,pre_amendment,agent_max_tokens,user_max_tokens,tau2_simulation_timeout_s,n_attempts_all_invocations,n_discarded_attempts,canonical_termination_reason,n_agent_responses_finish_length,n_user_responses_finish_length
A,1,0,1,true,not sent,not sent,none,1,0,user_stop,0,0
A,2,0,1,true,not sent,not sent,none,1,0,too_many_errors,0,0
A,3,0,1,true,not sent,not sent,none,1,0,user_stop,0,0
A,4,0,1,true,not sent,not sent,none,1,0,user_stop,0,0
A,5,0,1,true,not sent,not sent,none,1,0,user_stop,0,0
A,6,0,2,false,1024,1024,1800,7,7,infrastructure_error,0,0
A,7,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,8,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,9,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,10,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,11,0,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,12,0,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,13,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,14,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,15,0,2,false,1024,1024,1800,2,1,user_stop,0,0
A,16,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,17,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,18,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,19,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,20,0,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,21,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,22,0,2,false,1024,1024,1800,1,0,too_many_errors,1,0
A,23,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,24,0,2,false,1024,1024,1800,1,0,user_stop,1,0
A,25,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,26,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,27,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,28,0,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,29,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,30,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,31,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,32,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,33,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,34,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,35,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,36,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,37,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,38,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,39,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,40,0,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,41,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,42,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,43,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,44,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,45,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,46,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,47,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,48,0,2,false,1024,1024,1800,1,0,user_stop,0,0
A,49,0,2,false,1024,1024,1800,1,0,max_steps,0,0
A,1,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,2,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,3,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,4,1,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,5,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,6,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,7,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,8,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,9,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,10,1,2,false,1024,1024,1800,1,0,user_stop,0,0
