pair,task_a,task_b,score,decisive_tier_zero_based,success_difference
1,mbpp/278,mbpp/430,-1,0,-1
2,mbpp/441,humaneval/151,-1,0,-1
3,humaneval/62,mbpp/57,-1,1,0
4,humaneval/116,mbpp/606,-1,1,0
5,humaneval/21,humaneval/91,-1,0,-1
6,mbpp/721,mbpp/573,1,0,1
7,mbpp/165,mbpp/123,-1,1,0
8,mbpp/228,mbpp/804,-1,1,0
9,humaneval/131,mbpp/414,-1,1,0
10,mbpp/128,mbpp/746,-1,1,0
11,mbpp/94,mbpp/299,-1,0,-1
12,mbpp/635,mbpp/722,-1,1,0
13,mbpp/101,mbpp/735,-1,1,0
14,mbpp/395,humaneval/24,-1,1,0
15,mbpp/268,mbpp/141,1,0,1
16,mbpp/807,mbpp/69,-1,1,0
17,humaneval/118,mbpp/569,-1,1,0
18,mbpp/763,mbpp/723,1,0,1
19,mbpp/778,mbpp/172,-1,0,-1
20,mbpp/12,mbpp/605,-1,1,0
21,mbpp/592,mbpp/171,1,0,1
22,mbpp/775,humaneval/108,-1,0,-1
23,mbpp/451,humaneval/142,-1,1,0
24,mbpp/401,mbpp/308,-1,0,-1
25,mbpp/306,humaneval/80,1,0,1
26,humaneval/130,humaneval/103,1,0,1
27,humaneval/29,humaneval/96,-1,1,0
28,mbpp/781,mbpp/476,-1,1,0
29,mbpp/111,mbpp/615,0,-1,0
30,mbpp/633,humaneval/79,-1,1,0
31,mbpp/447,humaneval/101,-1,1,0
32,humaneval/100,humaneval/22,-1,1,0
33,mbpp/260,mbpp/88,1,0,1
34,mbpp/294,mbpp/422,1,0,1
35,mbpp/639,mbpp/291,-1,1,0
36,humaneval/77,mbpp/138,0,-1,0
37,mbpp/390,mbpp/442,0,-1,0
38,mbpp/125,humaneval/145,0,-1,0
39,mbpp/282,mbpp/446,-1,0,-1
40,mbpp/168,mbpp/593,-1,0,-1
41,humaneval/41,mbpp/629,-1,1,0
42,mbpp/767,mbpp/305,-1,0,-1
43,mbpp/124,mbpp/161,1,0,1
44,mbpp/728,humaneval/13,-1,1,0
45,mbpp/247,mbpp/292,1,1,0
46,mbpp/242,mbpp/641,-1,1,0
