n,net_benefit,success_difference,radius,nb_lo,nb_hi,success_lo,success_hi
1,-1.0,-1.0,24.61996959125003,-1.0,1.0,-1.0,1.0
2,-1.0,-1.0,12.380925367164851,-1.0,1.0,-1.0,1.0
3,-1.0,-0.6666666666666666,8.301040128823223,-1.0,1.0,-1.0,1.0
4,-1.0,-0.5,6.260946748831059,-1.0,1.0,-1.0,1.0
5,-1.0,-0.6,5.036771762484889,-1.0,1.0,-1.0,1.0
6,-0.6666666666666666,-0.3333333333333333,4.220557316590717,-1.0,1.0,-1.0,1.0
7,-0.7142857142857143,-0.2857142857142857,3.6374643049717923,-1.0,1.0,-1.0,1.0
8,-0.75,-0.25,3.2000731523141677,-1.0,1.0,-1.0,1.0
9,-0.7777777777777778,-0.2222222222222222,2.8598174087553745,-1.0,1.0,-1.0,1.0
10,-0.8,-0.2,2.5875571876972185,-1.0,1.0,-1.0,1.0
11,-0.8181818181818182,-0.2727272727272727,2.3647489102465418,-1.0,1.0,-1.0,1.0
12,-0.8333333333333334,-0.25,2.17903017741851,-1.0,1.0,-1.0,1.0
13,-0.8461538461538461,-0.23076923076923078,2.021842393615672,-1.0,1.0,-1.0,1.0
14,-0.8571428571428571,-0.21428571428571427,1.8870722657455707,-1.0,1.0,-1.0,1.0
15,-0.7333333333333333,-0.13333333333333333,1.7702367026795045,-1.0,1.0,-1.0,1.0
16,-0.75,-0.125,1.6679733774037049,-1.0,0.9179733774037049,-1.0,1.0
17,-0.7647058823529411,-0.11764705882352941,1.5777110907547474,-1.0,0.8130052084018062,-1.0,1.0
18,-0.6666666666666666,-0.05555555555555555,1.4974500139013025,-1.0,0.8307833472346359,-1.0,1.0
19,-0.6842105263157895,-0.10526315789473684,1.4256113279291984,-1.0,0.7414008016134089,-1.0,1.0
20,-0.7,-0.1,1.360931971543979,-1.0,0.660931971543979,-1.0,1.0
21,-0.6190476190476191,-0.047619047619047616,1.302389460852082,-1.0,0.683341841804463,-1.0,1.0
22,-0.6363636363636364,-0.09090909090909091,1.2491472128322665,-1.0,0.6127835764686301,-1.0,1.0
23,-0.6521739130434783,-0.08695652173913043,1.2005141322439703,-1.0,0.548340219200492,-1.0,1.0
24,-0.6666666666666666,-0.125,1.1559143018037255,-1.0,0.4892476351370588,-1.0,1.0
25,-0.6,-0.08,1.114863946714772,-1.0,0.5148639467147721,-1.0,1.0
26,-0.5384615384615384,-0.038461538461538464,1.076953715070353,-1.0,0.5384921766088145,-1.0,1.0
27,-0.5555555555555556,-0.037037037037037035,1.0418348959413817,-1.0,0.4862793403858261,-1.0,1.0
28,-0.5714285714285714,-0.03571428571428571,1.0092085907275499,-1.0,0.4377800192989785,-1.0,0.9734943050132642
29,-0.5517241379310345,-0.034482758620689655,0.9788171249153199,-1.0,0.42709298698428544,-1.0,0.9443343662946303
30,-0.5666666666666667,-0.03333333333333333,0.9504371774813313,-1.0,0.3837705108146646,-0.9837705108146646,0.917103844147998
31,-0.5806451612903226,-0.03225806451612903,0.9238742400859197,-1.0,0.34322907879559705,-0.9561323046020487,0.8916161755697907
32,-0.59375,-0.03125,0.8989581151652786,-1.0,0.30520811516527857,-0.9302081151652786,0.8677081151652786
33,-0.5454545454545454,0.0,0.8755392325499204,-1.0,0.330084687095375,-0.8755392325499204,0.8755392325499204
34,-0.5,0.029411764705882353,0.8534856160894154,-1.0,0.3534856160894154,-0.8240738513835331,0.8828973807952978
35,-0.5142857142857142,0.02857142857142857,0.8326803702822385,-1.0,0.3183946559965243,-0.8041089417108099,0.8612517988536671
36,-0.5,0.027777777777777776,0.8130195857987004,-1.0,0.3130195857987004,-0.7852418080209226,0.8407973635764782
37,-0.4864864864864865,0.02702702702702703,0.794410584646995,-1.0,0.3079240981605085,-0.7673835576199679,0.8214376116740221
38,-0.47368421052631576,0.02631578947368421,0.7767704424165977,-1.0,0.3030862318902819,-0.7504546529429135,0.8030862318902818
39,-0.48717948717948717,0.0,0.760024737867243,-1.0,0.27284525068775584,-0.760024737867243,0.760024737867243
40,-0.5,-0.025,0.7441064900780697,-1.0,0.24410649007806973,-0.7691064900780697,0.7191064900780697
41,-0.5121951219512195,-0.024390243902439025,0.7289552511345186,-1.0,0.21676012918329912,-0.7533454950369577,0.7045650072320796
42,-0.5238095238095238,-0.047619047619047616,0.7145163284300781,-1.0,0.19070680462055423,-0.7621353760491256,0.6668972808110305
43,-0.4883720930232558,-0.023255813953488372,0.7007401154828344,-1.0,0.21236802245957864,-0.7239959294363228,0.677484301529346
44,-0.5,-0.022727272727272728,0.6875815140031528,-1.0,0.18758151400315282,-0.7103087867304255,0.6648542412758801
45,-0.4666666666666667,-0.022222222222222223,0.6749994330179118,-1.0,0.2083327663512451,-0.697221655240134,0.6527772107956895
46,-0.4782608695652174,-0.021739130434782608,0.6629563533253332,-1.0,0.1846954837601158,-0.6846954837601158,0.6412172228905506
47,-0.44680851063829785,-0.02127659574468085,0.6514179475503564,-1.0,0.20460943691205857,-0.6726945432950373,0.6301413518056755
48,-0.4583333333333333,-0.020833333333333332,0.6403527476921794,-1.0,0.1820194143588461,-0.6611860810255128,0.619519414358846
49,-0.46938775510204084,-0.02040816326530612,0.6297318533794022,-1.0,0.16034409827736135,-0.6501400166447083,0.609323690114096
50,-0.48,-0.02,0.6195286751337413,-1.0,0.13952867513374134,-0.6395286751337413,0.5995286751337413
51,-0.49019607843137253,-0.0196078431372549,0.6097187078372447,-1.0,0.11952262940587216,-0.6293265509744996,0.5901108646999897
