task_id,benchmark,score,decisive_tier_zero_based,success_difference
mbpp/278,mbpp,-1,1,0
mbpp/430,mbpp,0,-1,0
mbpp/441,mbpp,-1,1,0
humaneval/151,humaneval,-1,0,-1
humaneval/62,humaneval,-1,1,0
mbpp/57,mbpp,1,0,1
humaneval/116,humaneval,-1,1,0
mbpp/606,mbpp,-1,1,0
humaneval/21,humaneval,-1,1,0
humaneval/91,humaneval,-1,0,-1
mbpp/721,mbpp,0,-1,0
mbpp/573,mbpp,1,0,1
mbpp/123,mbpp,-1,1,0
mbpp/165,mbpp,-1,1,0
mbpp/228,mbpp,-1,1,0
mbpp/804,mbpp,-1,1,0
humaneval/131,humaneval,0,-1,0
mbpp/414,mbpp,-1,1,0
mbpp/746,mbpp,-1,1,0
mbpp/128,mbpp,-1,1,0
mbpp/299,mbpp,0,-1,0
mbpp/94,mbpp,-1,1,0
mbpp/722,mbpp,1,0,1
mbpp/635,mbpp,-1,1,0
mbpp/735,mbpp,1,0,1
mbpp/101,mbpp,-1,1,0
mbpp/395,mbpp,-1,1,0
humaneval/24,humaneval,-1,1,0
mbpp/268,mbpp,0,-1,0
mbpp/141,mbpp,1,0,1
mbpp/69,mbpp,1,0,1
mbpp/807,mbpp,-1,1,0
humaneval/118,humaneval,-1,1,0
mbpp/569,mbpp,-1,1,0
mbpp/723,mbpp,-1,1,0
mbpp/763,mbpp,0,-1,0
mbpp/172,mbpp,-1,0,-1
mbpp/778,mbpp,-1,1,0
mbpp/12,mbpp,-1,1,0
mbpp/605,mbpp,-1,1,0
mbpp/592,mbpp,0,-1,0
mbpp/171,mbpp,-1,1,0
mbpp/775,mbpp,-1,1,0
humaneval/108,humaneval,-1,0,-1
mbpp/451,mbpp,-1,1,0
humaneval/142,humaneval,1,0,1
mbpp/308,mbpp,-1,0,-1
mbpp/401,mbpp,-1,1,0
humaneval/80,humaneval,-1,1,0
mbpp/306,mbpp,0,-1,0
humaneval/103,humaneval,-1,1,0
humaneval/130,humaneval,0,-1,0
humaneval/96,humaneval,0,-1,0
humaneval/29,humaneval,-1,1,0
mbpp/781,mbpp,-1,1,0
mbpp/476,mbpp,-1,1,0
mbpp/615,mbpp,0,-1,0
mbpp/111,mbpp,0,-1,0
humaneval/79,humaneval,-1,1,0
mbpp/633,mbpp,-1,1,0
mbpp/447,mbpp,-1,1,0
humaneval/101,humaneval,-1,1,0
humaneval/100,humaneval,-1,1,0
humaneval/22,humaneval,-1,1,0
