execution_index,task_id,agent_model,run_seed,status,success,agent_cost_usd,user_cost_usd,assistant_tool_calls,duration_seconds,termination_reason,error_type
0,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin[PERSONA:None],gpt-5.6-luna,719925702,infrastructure_failure,,,,,,,ProviderFailure
1,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin[PERSONA:None],claude-haiku-4-5-20251001,653654686,not_run_budget_or_uncertainty,,,,,,,
2,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],claude-haiku-4-5-20251001,2002626778,not_run_budget_or_uncertainty,,,,,,,
3,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],gpt-5.6-luna,1388775364,not_run_budget_or_uncertainty,,,,,,,
4,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],claude-haiku-4-5-20251001,1933500638,not_run_budget_or_uncertainty,,,,,,,
5,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],gpt-5.6-luna,182958410,not_run_budget_or_uncertainty,,,,,,,
6,[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],gpt-5.6-luna,1268897495,not_run_budget_or_uncertainty,,,,,,,
7,[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],claude-haiku-4-5-20251001,2092654646,not_run_budget_or_uncertainty,,,,,,,
8,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_usage_exceeded[PERSONA:Hard],gpt-5.6-luna,1152808174,not_run_budget_or_uncertainty,,,,,,,
9,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_usage_exceeded[PERSONA:Hard],claude-haiku-4-5-20251001,299402741,not_run_budget_or_uncertainty,,,,,,,
10,[mms_issue]break_app_sms_permission|data_mode_off[PERSONA:None],gpt-5.6-luna,816511246,not_run_budget_or_uncertainty,,,,,,,
11,[mms_issue]break_app_sms_permission|data_mode_off[PERSONA:None],claude-haiku-4-5-20251001,1987492048,not_run_budget_or_uncertainty,,,,,,,
12,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],claude-haiku-4-5-20251001,911432208,not_run_budget_or_uncertainty,,,,,,,
13,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],gpt-5.6-luna,744388850,not_run_budget_or_uncertainty,,,,,,,
14,[service_issue]contract_end_suspension|unseat_sim_card[PERSONA:Hard],gpt-5.6-luna,1850616617,not_run_budget_or_uncertainty,,,,,,,
15,[service_issue]contract_end_suspension|unseat_sim_card[PERSONA:Hard],claude-haiku-4-5-20251001,65498857,not_run_budget_or_uncertainty,,,,,,,
16,[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],claude-haiku-4-5-20251001,498066679,not_run_budget_or_uncertainty,,,,,,,
17,[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],gpt-5.6-luna,516095387,not_run_budget_or_uncertainty,,,,,,,
18,[mobile_data_issue]bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],gpt-5.6-luna,40103766,not_run_budget_or_uncertainty,,,,,,,
19,[mobile_data_issue]bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],claude-haiku-4-5-20251001,1963575039,not_run_budget_or_uncertainty,,,,,,,
20,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Hard],claude-haiku-4-5-20251001,2011130881,not_run_budget_or_uncertainty,,,,,,,
21,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Hard],gpt-5.6-luna,67934838,not_run_budget_or_uncertainty,,,,,,,
22,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],claude-haiku-4-5-20251001,1365424047,not_run_budget_or_uncertainty,,,,,,,
23,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],gpt-5.6-luna,417490721,not_run_budget_or_uncertainty,,,,,,,
