execution_index,task_id,variant,backend_model,run_seed,status,success,agent_cost_usd,user_cost_usd,assistant_tool_calls,duration_seconds,termination_reason,error_type
0,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin[PERSONA:None],standard,claude-haiku-4-5-20251001,799534878,completed,1.0,0.072212,0.04022799999999999,5,23.483654499985278,user_stop,
1,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin[PERSONA:None],verification,claude-haiku-4-5-20251001,571921670,completed,1.0,0.12422100000000001,0.07473099999999999,8,33.841991416178644,user_stop,
2,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],verification,claude-haiku-4-5-20251001,81736297,completed,0.0,0.152609,0.08247399999999999,8,41.02995216567069,max_steps,
3,[mobile_data_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],standard,claude-haiku-4-5-20251001,706856043,completed,0.0,0.130524,0.10969199999999998,3,51.34479170758277,max_steps,
4,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],verification,claude-haiku-4-5-20251001,244530820,completed,0.0,0.110275,0.064634,5,42.55202162452042,user_stop,
5,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],standard,claude-haiku-4-5-20251001,296359582,completed,0.0,0.12994899999999998,0.129602,1,53.821383541449904,max_steps,
6,[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],standard,claude-haiku-4-5-20251001,1960248060,completed,0.0,0.115084,0.10257299999999998,3,42.4323197491467,max_steps,
7,[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],verification,claude-haiku-4-5-20251001,1766387273,completed,0.0,0.112564,0.09919,3,36.32358674984425,max_steps,
8,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_usage_exceeded[PERSONA:Hard],standard,claude-haiku-4-5-20251001,1879249240,completed,0.0,0.11623700000000001,0.120764,1,50.35262312460691,max_steps,
9,[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_usage_exceeded[PERSONA:Hard],verification,claude-haiku-4-5-20251001,1561545364,completed,0.0,0.17067600000000002,0.11982299999999997,2,64.76490316540003,max_steps,
10,[mms_issue]break_app_sms_permission|data_mode_off[PERSONA:None],standard,claude-haiku-4-5-20251001,1287366153,completed,0.0,0.09274099999999999,0.123309,1,46.66133783292025,max_steps,
11,[mms_issue]break_app_sms_permission|data_mode_off[PERSONA:None],verification,claude-haiku-4-5-20251001,1607644071,completed,0.0,0.121649,0.109323,1,40.07382533326745,max_steps,
12,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],verification,claude-haiku-4-5-20251001,1908021780,completed,0.0,0.11616500000000002,0.10713499999999998,3,40.782052292488515,max_steps,
13,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],standard,claude-haiku-4-5-20251001,1393118872,completed,0.0,0.07008500000000001,0.043147,5,26.081216459162533,too_many_errors,
14,[service_issue]contract_end_suspension|unseat_sim_card[PERSONA:Hard],standard,claude-haiku-4-5-20251001,2036419083,completed,0.0,0.188877,0.08006799999999999,7,57.83086383342743,max_steps,
15,[service_issue]contract_end_suspension|unseat_sim_card[PERSONA:Hard],verification,claude-haiku-4-5-20251001,440984925,completed,0.0,0.23886000000000002,0.09768699999999998,6,61.641211207956076,max_steps,
16,[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],verification,claude-haiku-4-5-20251001,1222495912,completed,1.0,0.06954600000000001,0.041187999999999995,3,20.398484541103244,user_stop,
17,[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],standard,claude-haiku-4-5-20251001,1540008637,completed,1.0,0.059666,0.041876,2,22.383602083660662,user_stop,
18,[mobile_data_issue]bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],standard,claude-haiku-4-5-20251001,1798161192,budget_stopped,,,,,,,BudgetStop
19,[mobile_data_issue]bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],verification,claude-haiku-4-5-20251001,292377641,not_run_budget_or_infrastructure,,,,,,,
20,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Hard],verification,claude-haiku-4-5-20251001,1845486724,not_run_budget_or_infrastructure,,,,,,,
21,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Hard],standard,claude-haiku-4-5-20251001,1803540721,not_run_budget_or_infrastructure,,,,,,,
22,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],verification,claude-haiku-4-5-20251001,1213695152,not_run_budget_or_infrastructure,,,,,,,
23,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],standard,claude-haiku-4-5-20251001,2131084863,not_run_budget_or_infrastructure,,,,,,,
