family,domain,model_a,model_b,configuration,cost_relative_tolerance,resource_order,pairing,tasks,bootstrap_replicates,p_win,p_loss,p_tie,net_benefit,nb_ci_low,nb_ci_high,success_diff,success_ci_low,success_ci_high,win_ratio,success_decisive,cost_decisive,steps_decisive,illustrative_NI_margin,pointwise_NI_lower_above_margin,success_win,success_loss,success_net,cost_win,cost_loss,cost_net,steps_win,steps_loss,steps_net
tau2,airline,o4-mini,GPT-4.1,primary,0.05,cost_steps,off_diagonal,50,10000,0.42666666666666664,0.2633333333333333,0.31,0.16333333333333336,0.014958333333333362,0.30333333333333334,0.03,-0.07,0.13,1.620253164556962,0.2866666666666666,0.3883333333333334,0.014999999999999998,0.03,False,0.15833333333333333,0.12833333333333333,0.03,0.25833333333333336,0.13,0.12833333333333333,0.009999999999999998,0.005,0.005
tau2,airline,o4-mini,GPT-4.1,cost_tol_0,0.0,cost_steps,off_diagonal,50,10000,0.4316666666666666,0.2866666666666667,0.2816666666666666,0.145,-0.0016666666666666692,0.28166666666666673,0.03,-0.07,0.13,1.5058139534883717,0.2866666666666666,0.43166666666666664,0.0,0.03,False,0.15833333333333333,0.12833333333333333,0.03,0.2733333333333334,0.15833333333333333,0.11499999999999998,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,cost_tol_10,0.1,cost_steps,off_diagonal,50,10000,0.42833333333333334,0.24999999999999997,0.32166666666666666,0.17833333333333334,0.03000000000000001,0.31833333333333336,0.03,-0.07,0.13,1.7133333333333336,0.2866666666666666,0.3549999999999999,0.03666666666666667,0.03,False,0.15833333333333333,0.12833333333333333,0.03,0.24500000000000002,0.11000000000000004,0.135,0.024999999999999994,0.011666666666666665,0.01333333333333333
tau2,airline,o4-mini,GPT-4.1,cost_tol_20,0.2,cost_steps,off_diagonal,50,10000,0.3933333333333334,0.23499999999999996,0.3716666666666668,0.15833333333333333,0.020000000000000035,0.29000000000000004,0.03,-0.07,0.13,1.6737588652482276,0.2866666666666666,0.25833333333333336,0.08333333333333334,0.03,False,0.15833333333333333,0.12833333333333333,0.03,0.18499999999999997,0.07333333333333332,0.11166666666666662,0.05,0.03333333333333333,0.016666666666666666
tau2,airline,o4-mini,GPT-4.1,steps_before_cost,0.05,steps_cost,off_diagonal,50,10000,0.425,0.265,0.31,0.16,0.006625,0.30999999999999994,0.03,-0.07,0.13,1.6037735849056602,0.2866666666666666,0.11333333333333333,0.29,0.03,False,0.15833333333333333,0.12833333333333333,0.03,0.07333333333333333,0.039999999999999994,0.03333333333333333,0.19333333333333336,0.09666666666666668,0.09666666666666668
tau2,airline,o4-mini,GPT-4.1,paired_seed,0.05,cost_steps,diagonal,50,10000,0.46,0.25,0.29,0.21,0.055,0.36,0.03,-0.07,0.13,1.84,0.3,0.395,0.015,0.03,False,0.165,0.135,0.03,0.285,0.11,0.175,0.01,0.005,0.005
tau2,airline,o4-mini,GPT-4.1,all_pairs,0.05,cost_steps,all,50,10000,0.435,0.26,0.305,0.175,0.02625,0.31625,0.03,-0.07,0.13,1.673076923076923,0.29,0.39,0.015,0.03,False,0.16,0.13,0.03,0.265,0.125,0.14,0.01,0.005,0.005
tau2,airline,Claude-3.7,GPT-4.1,primary,0.05,cost_steps,off_diagonal,50,10000,0.12499999999999999,0.5566666666666668,0.3183333333333333,-0.4316666666666668,-0.5733333333333333,-0.2866250000000006,-0.06,-0.175,0.05,0.22455089820359275,0.30333333333333334,0.37833333333333335,0.0,0.03,False,0.12166666666666665,0.18166666666666667,-0.06,0.003333333333333333,0.37500000000000006,-0.3716666666666668,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,cost_tol_0,0.0,cost_steps,off_diagonal,50,10000,0.12499999999999999,0.5566666666666668,0.3183333333333333,-0.4316666666666668,-0.5733333333333333,-0.2866250000000006,-0.06,-0.175,0.05,0.22455089820359275,0.30333333333333334,0.37833333333333335,0.0,0.03,False,0.12166666666666665,0.18166666666666667,-0.06,0.003333333333333333,0.37500000000000006,-0.3716666666666668,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,cost_tol_10,0.1,cost_steps,off_diagonal,50,10000,0.12499999999999999,0.5566666666666668,0.3183333333333333,-0.4316666666666668,-0.5733333333333333,-0.2866250000000006,-0.06,-0.175,0.05,0.22455089820359275,0.30333333333333334,0.37666666666666676,0.0016666666666666666,0.03,False,0.12166666666666665,0.18166666666666667,-0.06,0.0016666666666666666,0.37500000000000006,-0.37333333333333335,0.0016666666666666666,0.0,0.0016666666666666666
tau2,airline,Claude-3.7,GPT-4.1,cost_tol_20,0.2,cost_steps,off_diagonal,50,10000,0.12499999999999999,0.5566666666666668,0.3183333333333333,-0.4316666666666668,-0.5733333333333333,-0.2866250000000006,-0.06,-0.175,0.05,0.22455089820359275,0.30333333333333334,0.37666666666666676,0.0016666666666666666,0.03,False,0.12166666666666665,0.18166666666666667,-0.06,0.0016666666666666666,0.37500000000000006,-0.37333333333333335,0.0016666666666666666,0.0,0.0016666666666666666
tau2,airline,Claude-3.7,GPT-4.1,steps_before_cost,0.05,steps_cost,off_diagonal,50,10000,0.2266666666666667,0.455,0.3183333333333333,-0.22833333333333336,-0.3716666666666667,-0.08,-0.06,-0.175,0.05,0.49816849816849823,0.30333333333333334,0.10333333333333333,0.27499999999999997,0.03,False,0.12166666666666665,0.18166666666666667,-0.06,0.0,0.10333333333333333,-0.10333333333333333,0.105,0.17,-0.06499999999999999
tau2,airline,Claude-3.7,GPT-4.1,paired_seed,0.05,cost_steps,diagonal,50,10000,0.145,0.55,0.305,-0.405,-0.55,-0.255,-0.06,-0.175,0.05,0.2636363636363636,0.33,0.365,0.0,0.03,False,0.135,0.195,-0.06,0.01,0.355,-0.345,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,all_pairs,0.05,cost_steps,all,50,10000,0.13,0.555,0.315,-0.425,-0.56875,-0.27875,-0.06,-0.175,0.05,0.23423423423423423,0.31,0.375,0.0,0.03,False,0.125,0.185,-0.06,0.005,0.37,-0.365,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,primary,0.05,cost_steps,off_diagonal,50,10000,0.5883333333333333,0.13166666666666668,0.28,0.45666666666666655,0.31,0.5983333333333333,0.09,-0.03,0.215,4.468354430379746,0.35,0.3683333333333333,0.0016666666666666666,0.03,False,0.22,0.13,0.09,0.3683333333333333,0.0,0.3683333333333333,0.0,0.0016666666666666666,-0.0016666666666666666
tau2,airline,o4-mini,Claude-3.7,cost_tol_0,0.0,cost_steps,off_diagonal,50,10000,0.5883333333333333,0.13166666666666668,0.28,0.45666666666666655,0.31,0.5983333333333333,0.09,-0.03,0.215,4.468354430379746,0.35,0.37,0.0,0.03,False,0.22,0.13,0.09,0.3683333333333333,0.0016666666666666666,0.36666666666666664,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,cost_tol_10,0.1,cost_steps,off_diagonal,50,10000,0.5883333333333333,0.13166666666666668,0.28,0.45666666666666655,0.31,0.5983333333333333,0.09,-0.03,0.215,4.468354430379746,0.35,0.3683333333333333,0.0016666666666666666,0.03,False,0.22,0.13,0.09,0.3683333333333333,0.0,0.3683333333333333,0.0,0.0016666666666666666,-0.0016666666666666666
tau2,airline,o4-mini,Claude-3.7,cost_tol_20,0.2,cost_steps,off_diagonal,50,10000,0.5866666666666667,0.13333333333333333,0.28,0.4533333333333333,0.3083333333333333,0.5933333333333334,0.09,-0.03,0.215,4.4,0.35,0.36666666666666664,0.003333333333333333,0.03,False,0.22,0.13,0.09,0.36666666666666664,0.0,0.36666666666666664,0.0,0.003333333333333333,-0.003333333333333333
tau2,airline,o4-mini,Claude-3.7,steps_before_cost,0.05,steps_cost,off_diagonal,50,10000,0.5566666666666666,0.16333333333333333,0.28,0.3933333333333332,0.25000000000000006,0.5383333333333333,0.09,-0.03,0.215,3.4081632653061225,0.35,0.09166666666666665,0.2783333333333334,0.03,False,0.22,0.13,0.09,0.09166666666666665,0.0,0.09166666666666665,0.245,0.03333333333333333,0.21166666666666667
