excluded_repository,remaining_tasks,net_benefit,success_diff
astropy,294,-0.11564625850340136,-0.06802721088435375
django,186,-0.06451612903225806,-0.043010752688172046
matplotlib,277,-0.11913357400722022,-0.06859205776173286
mwaskom,296,-0.11148648648648649,-0.060810810810810814
pallets,297,-0.11447811447811448,-0.06397306397306397
psf,294,-0.11564625850340136,-0.061224489795918366
pydata,295,-0.1152542372881356,-0.06440677966101695
pylint-dev,294,-0.11224489795918367,-0.061224489795918366
pytest-dev,283,-0.10954063604240283,-0.06007067137809187
scikit-learn,277,-0.1299638989169675,-0.06859205776173286
sphinx-doc,284,-0.11619718309859155,-0.06690140845070422
sympy,223,-0.1210762331838565,-0.06726457399103139
