family,domain,model_a,model_b,task_id,repository,net_benefit,success_diff,p_win,p_loss,p_tie,success_decisive,cost_decisive,steps_decisive,comparisons,success_win,success_loss,success_net,cost_win,cost_loss,cost_net,steps_win,steps_loss,steps_net
tau2,airline,o4-mini,GPT-4.1,0,,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.9166666666666666,0.08333333333333333,12,0.0,0.0,0.0,0.6666666666666666,0.25,0.4166666666666667,0.0,0.08333333333333333,-0.08333333333333333
tau2,airline,o4-mini,GPT-4.1,1,,0.3333333333333333,0.5,0.5833333333333334,0.25,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,12,0.5833333333333334,0.08333333333333333,0.5,0.0,0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,2,,0.8333333333333334,0.75,0.9166666666666666,0.08333333333333333,0.0,0.75,0.16666666666666666,0.08333333333333333,12,0.75,0.0,0.75,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333
tau2,airline,o4-mini,GPT-4.1,3,,0.25,0.0,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.0,0.9166666666666666,0.0,12,0.0,0.0,0.0,0.5833333333333334,0.3333333333333333,0.25,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,4,,0.6666666666666666,0.25,0.8333333333333334,0.16666666666666666,0.0,0.25,0.75,0.0,12,0.25,0.0,0.25,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,5,,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,12,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,6,,0.25,0.0,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.0,0.9166666666666666,0.0,12,0.0,0.0,0.0,0.5833333333333334,0.3333333333333333,0.25,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,7,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,8,,-0.9166666666666666,-0.5,0.0,0.9166666666666666,0.08333333333333333,0.5,0.3333333333333333,0.08333333333333333,12,0.0,0.5,-0.5,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.08333333333333333,-0.08333333333333333
tau2,airline,o4-mini,GPT-4.1,9,,0.25,0.25,0.25,0.0,0.75,0.25,0.0,0.0,12,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,10,,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,12,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,11,,-0.8333333333333334,-0.75,0.08333333333333333,0.9166666666666666,0.0,0.75,0.25,0.0,12,0.0,0.75,-0.75,0.08333333333333333,0.16666666666666666,-0.08333333333333333,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,12,,0.25,0.0,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.08333333333333333,12,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333
tau2,airline,o4-mini,GPT-4.1,13,,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,14,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,15,,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.9166666666666666,0.08333333333333333,12,0.0,0.0,0.0,0.75,0.16666666666666666,0.5833333333333334,0.08333333333333333,0.0,0.08333333333333333
tau2,airline,o4-mini,GPT-4.1,16,,0.4166666666666667,-0.25,0.6666666666666666,0.25,0.08333333333333333,0.25,0.6666666666666666,0.0,12,0.0,0.25,-0.25,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,17,,0.3333333333333333,0.5,0.5833333333333334,0.25,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,12,0.5833333333333334,0.08333333333333333,0.5,0.0,0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,18,,-1.0,-0.5,0.0,1.0,0.0,0.5,0.5,0.0,12,0.0,0.5,-0.5,0.0,0.5,-0.5,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,19,,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,20,,0.5833333333333334,0.5,0.6666666666666666,0.08333333333333333,0.25,0.5,0.16666666666666666,0.08333333333333333,12,0.5,0.0,0.5,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333
tau2,airline,o4-mini,GPT-4.1,21,,0.75,0.75,0.75,0.0,0.25,0.75,0.0,0.0,12,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,22,,0.16666666666666666,0.25,0.4166666666666667,0.25,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.0,12,0.4166666666666667,0.16666666666666666,0.25,0.0,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,23,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,24,,-0.25,-0.25,0.0,0.25,0.75,0.25,0.0,0.0,12,0.0,0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,25,,0.8333333333333334,0.25,0.9166666666666666,0.08333333333333333,0.0,0.25,0.75,0.0,12,0.25,0.0,0.25,0.6666666666666666,0.08333333333333333,0.5833333333333334,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,26,,0.5,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.0,12,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.5,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,27,,-0.25,-0.25,0.0,0.25,0.75,0.25,0.0,0.0,12,0.0,0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,28,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,29,,-0.5833333333333334,-0.5,0.08333333333333333,0.6666666666666666,0.25,0.6666666666666666,0.08333333333333333,0.0,12,0.08333333333333333,0.5833333333333334,-0.5,0.0,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,30,,-0.16666666666666666,-0.25,0.3333333333333333,0.5,0.16666666666666666,0.25,0.5833333333333334,0.0,12,0.0,0.25,-0.25,0.3333333333333333,0.25,0.08333333333333333,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,31,,-0.5,-0.25,0.25,0.75,0.0,0.25,0.75,0.0,12,0.0,0.25,-0.25,0.25,0.5,-0.25,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,32,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,33,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,34,,0.16666666666666666,-0.25,0.5,0.3333333333333333,0.16666666666666666,0.25,0.5,0.08333333333333333,12,0.0,0.25,-0.25,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333
tau2,airline,o4-mini,GPT-4.1,35,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
