label,A,B,domains,design,reps,max_pairs,deploy_rate,harm_rate,median_deploy_time,q25_deploy_time,q75_deploy_time,median_harm_time,mean_final_nb,sd_final_nb,mean_final_success_diff
tau2_o4mini_vs_gpt41_all,o4-mini-2025-04-16,gpt-4.1-2025-04-14,airline+retail+telecom,paired,500,2000,0.976,0.0,838.5,566.75,1197.75,,0.10350299999999998,0.018170484060695796,0.027232
tau2_o4mini_vs_gpt41_all,o4-mini-2025-04-16,gpt-4.1-2025-04-14,airline+retail+telecom,cross_arrival,500,2000,0.368,0.002,1228.0,861.0,1646.25,83.0,0.05295400000000001,0.019862549785966556,0.027264
tau2_o4mini_vs_gpt41_all,o4-mini-2025-04-16,gpt-4.1-2025-04-14,airline+retail+telecom,cross_arrival_stratified,500,2000,0.316,0.0,1182.5,815.25,1602.5,,0.049518,0.019968742474176987,0.026338
tau2_o4mini_vs_gpt41_retail,o4-mini-2025-04-16,gpt-4.1-2025-04-14,retail,paired,500,2000,0.006,0.0,882.0,468.5,1081.0,,0.057667,0.020137095396307782,-0.026938000000000004
tau2_o4mini_vs_gpt41_retail,o4-mini-2025-04-16,gpt-4.1-2025-04-14,retail,cross_arrival,500,2000,0.002,0.044,1640.0,1640.0,1640.0,693.5,-0.013756,0.022489563446185433,-0.02648
tau2_o4mini_vs_gpt41_retail,o4-mini-2025-04-16,gpt-4.1-2025-04-14,retail,cross_arrival_stratified,500,2000,0.0,0.018,,,,1025.0,-0.013531000000000001,0.019856347574516316,-0.026498
tau2_claude37_vs_gpt41_all,claude-3-7-sonnet-20250219,gpt-4.1-2025-04-14,airline+retail+telecom,paired,500,2000,0.0,1.0,,,,54.5,-0.362276,0.01650172184955255,0.06969300000000002
tau2_claude37_vs_gpt41_all,claude-3-7-sonnet-20250219,gpt-4.1-2025-04-14,airline+retail+telecom,cross_arrival,500,2000,0.0,1.0,,,,111.0,-0.26270699999999997,0.019891496952215537,0.06932499999999998
tau2_claude37_vs_gpt41_all,claude-3-7-sonnet-20250219,gpt-4.1-2025-04-14,airline+retail+telecom,cross_arrival_stratified,500,2000,0.0,1.0,,,,88.0,-0.287976,0.018563119996379912,0.06955599999999999
self_null,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,airline+retail+telecom,paired_disjoint_trials,500,2000,0.0,0.006,,,,,,,
completion_order_stress,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14 (failures slowed x4),airline+retail+telecom,arrival_order,300,1500,0.0033333333333333335,0.006666666666666667,,,,,,,
completion_order_stress,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14 (failures slowed x4),airline+retail+telecom,completion_order,300,1500,0.0,0.013333333333333334,,,,,,,
