experiment,method,n,event_count,rate,ci_lower,ci_upper,metric
success_boundary,win_only_betting,2000,2000,1.0,0.9980829527187469,0.9999999999999998,ever deploy
success_boundary,guarded_betting,2000,15,0.0075,0.004550377435809225,0.012337914136224913,ever deploy
success_boundary,guarded_normal_mixture,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,ever deploy
success_boundary,guarded_repeated_wald,2000,648,0.324,0.3038436646272428,0.34483113601575816,ever deploy
success_boundary,guarded_group_bonferroni_wald,2000,52,0.026,0.019882087677964753,0.033935273144663027,ever deploy
success_boundary,guarded_fixed_wald,2000,109,0.0545,0.045378356153563185,0.06532973297403316,ever deploy
compliance_boundary,win_only_betting,2000,2000,1.0,0.9980829527187469,0.9999999999999998,ever deploy
compliance_boundary,guarded_betting,2000,9,0.0045,0.0023692806369618345,0.008530513218759823,ever deploy
compliance_boundary,guarded_normal_mixture,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,ever deploy
compliance_boundary,guarded_repeated_wald,2000,609,0.3045,0.28472205945191115,0.32502750603505864,ever deploy
compliance_boundary,guarded_group_bonferroni_wald,2000,53,0.0265,0.020316920414969065,0.03449852336037745,ever deploy
compliance_boundary,guarded_fixed_wald,2000,104,0.052,0.043099720209557914,0.06261795415444468,ever deploy
reused_run_dependence,task_cluster_t,2000,1905,0.9525,0.9422790928066445,0.9609859794038216,coverage of zero
reused_run_dependence,naive_cross_run_wald,2000,1113,0.5565,0.5346395867490134,0.578143786908205,coverage of zero
adaptive_order_null,unweighted_normal_mixture,1000,930,0.93,0.9124853518487167,0.9442236358537061,false positive
adaptive_order_null,HT_normal_mixture,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,false positive
adaptive_order_null,HT_betting,1000,11,0.011,0.006153174098086638,0.019589395700786275,false positive
