pair_index,block,n,z,decisive_tier,success_diff,n_win,n_loss,n_tie,n_succ_pos,n_succ_neg,nb_hat,succ_diff_hat,log_e_win,log_e_gate,log_e_harm,win_cross,gate_cross,deploy,harm
1,1,1,1,0,1,1,0,0,1,0,1.0,1.0,0.11133283533037641,0.11750376008222085,-0.1252989463988574,False,False,False,False
2,1,2,0,-1,0,1,0,1,1,0,0.5,0.5,0.11133283533037641,0.12261697917018877,-0.1252989463988574,False,False,False,False
3,1,3,0,-1,0,1,0,2,1,0,0.3333333333333333,0.3333333333333333,0.11133283533037641,0.12780153550395346,-0.1252989463988574,False,False,False,False
4,1,4,1,0,1,2,0,2,2,0,0.5,0.5,0.2628855399485279,0.29413303063658214,-0.18679917547900793,False,False,False,False
5,1,5,0,-1,0,2,0,3,2,0,0.4,0.4,0.2628855399485279,0.30153580495123444,-0.18679917547900793,False,False,False,False
6,1,6,-1,0,-1,2,1,3,2,1,0.16666666666666666,0.16666666666666666,0.004787980014828275,0.022439820131453736,-0.14512707341201114,False,False,False,False
7,1,7,0,-1,0,2,1,4,2,1,0.14285714285714285,0.14285714285714285,0.004787980014828275,0.025535286915598476,-0.14512707341201114,False,False,False,False
8,1,8,0,-1,0,2,1,5,2,1,0.125,0.125,0.004787980014828275,0.02866117973968718,-0.14512707341201114,False,False,False,False
9,1,9,1,1,0,3,1,5,2,1,0.2222222222222222,0.1111111111111111,0.0958272217701821,0.031817873006459774,-0.19748222597123677,False,False,False,False
10,1,10,-1,0,-1,3,2,5,2,2,0.1,0.0,-0.03513167125973293,-0.07714802742192584,-0.15948615156214396,False,False,False,False
11,1,11,-1,1,0,3,3,5,2,2,0.0,0.0,-0.11492030335225234,-0.07510243281719209,-0.11492030335225234,False,False,False,False
12,1,12,1,0,1,4,3,5,3,2,0.08333333333333333,0.08333333333333333,-0.06199572832991107,-0.006639237207207049,-0.17080318515567994,False,False,False,False
13,1,13,1,1,0,5,3,5,3,2,0.15384615384615385,0.07692307692307693,0.0015930900949805427,-0.00405131263927716,-0.21344635201951023,False,False,False,False
14,1,14,0,-1,0,5,3,6,3,2,0.14285714285714285,0.07142857142857142,0.0015930900949805427,-0.00144132226413074,-0.21344635201951023,False,False,False,False
15,1,15,1,0,1,6,3,6,4,2,0.2,0.13333333333333333,0.07876554987765338,0.08519023816646465,-0.24785872737057568,False,False,False,False
16,1,16,0,-1,0,6,3,7,4,2,0.1875,0.125,0.07876554987765338,0.08853458381980328,-0.24785872737057568,False,False,False,False
17,1,17,0,-1,0,6,3,8,4,2,0.17647058823529413,0.11764705882352941,0.07876554987765338,0.09190898580889906,-0.24785872737057568,False,False,False,False
18,1,18,0,-1,0,6,3,9,4,2,0.16666666666666666,0.1111111111111111,0.07876554987765338,0.09531376701015448,-0.24785872737057568,False,False,False,False
19,1,19,0,-1,0,6,3,10,4,2,0.15789473684210525,0.10526315789473684,0.07876554987765338,0.098749253130761,-0.24785872737057568,False,False,False,False
20,1,20,1,0,1,7,3,10,5,2,0.2,0.15,0.17311405442616357,0.21138457159559287,-0.2767085983455573,False,False,False,False
21,1,21,0,-1,0,7,3,11,5,2,0.19047619047619047,0.14285714285714285,0.17311405442616357,0.2158161292773113,-0.2767085983455573,False,False,False,False
22,1,22,1,0,1,8,3,11,6,2,0.22727272727272727,0.18181818181818182,0.2888710462129582,0.3589571257158295,-0.301566092649713,False,False,False,False
23,1,23,1,2,0,9,3,11,6,2,0.2608695652173913,0.17391304347826086,0.43071494199764393,0.3646578250153385,-0.3234266388520459,False,False,False,False
24,1,24,0,-1,0,9,3,12,6,2,0.25,0.16666666666666666,0.43071494199764393,0.37040997473835047,-0.3234266388520459,False,False,False,False
25,2,25,0,-1,0,9,3,13,6,2,0.24,0.16,0.43071494199764393,0.37621399029982205,-0.3234266388520459,False,False,False,False
26,2,26,0,-1,0,9,3,14,6,2,0.23076923076923078,0.15384615384615385,0.43071494199764393,0.3820702871282786,-0.3234266388520459,False,False,False,False
27,2,27,0,-1,0,9,3,15,6,2,0.2222222222222222,0.14814814814814814,0.43071494199764393,0.3879792805691822,-0.3234266388520459,False,False,False,False
28,2,28,-1,1,0,9,4,15,6,2,0.17857142857142858,0.14285714285714285,0.2219147346020125,0.3939413857865479,-0.30426937995263215,False,False,False,False
29,2,29,-1,0,-1,9,5,15,6,3,0.13793103448275862,0.10344827586206896,0.086573667409521,0.1769145366382645,-0.2833898634526344,False,False,False,False
30,2,30,-1,0,-1,9,6,15,6,4,0.1,0.06666666666666667,-0.007789649791429376,0.04431874254056911,-0.2605029176381244,False,False,False,False
31,2,31,0,-1,0,9,6,16,6,4,0.0967741935483871,0.06451612903225806,-0.007789649791429376,0.0469563694061379,-0.2605029176381244,False,False,False,False
32,2,32,0,-1,0,9,6,17,6,4,0.09375,0.0625,-0.007789649791429376,0.04961354495617876,-0.2605029176381244,False,False,False,False
33,2,33,-1,0,-1,9,7,17,6,5,0.06060606060606061,0.030303030303030304,-0.07770780182267245,-0.04104375062260379,-0.23526247163798608,False,False,False,False
34,2,34,0,-1,0,9,7,18,6,5,0.058823529411764705,0.029411764705882353,-0.07770780182267245,-0.03907417861119855,-0.23526247163798608,False,False,False,False
35,2,35,1,0,1,10,7,18,7,5,0.08571428571428572,0.05714285714285714,-0.02615661027542515,0.02683179920907408,-0.26408520233930943,False,False,False,False
36,2,36,-1,0,-1,10,8,18,7,6,0.05555555555555555,0.027777777777777776,-0.09002472934886496,-0.05389251316098109,-0.23956269920796958,False,False,False,False
37,2,37,0,-1,0,10,8,19,7,6,0.05405405405405406,0.02702702702702703,-0.09002472934886496,-0.052072305848580136,-0.23956269920796958,False,False,False,False
38,2,38,1,0,1,11,8,19,8,6,0.07894736842105263,0.05263157894736842,-0.04177213989583706,0.008953427791511093,-0.2674324411760849,False,False,False,False
39,2,39,0,-1,0,11,8,20,8,6,0.07692307692307693,0.05128205128205128,-0.04177213989583706,0.011140807099523808,-0.2674324411760849,False,False,False,False
40,2,40,-1,0,-1,11,9,20,8,7,0.05,0.025,-0.10082503832976863,-0.06277776243795641,-0.2435540643286611,False,False,False,False
41,2,41,0,-1,0,11,9,21,8,7,0.04878048780487805,0.024390243902439025,-0.10082503832976863,-0.06106522056678143,-0.2435540643286611,False,False,False,False
42,2,42,0,-1,0,11,9,22,8,7,0.047619047619047616,0.023809523809523808,-0.10082503832976863,-0.05934302418741533,-0.2435540643286611,False,False,False,False
43,2,43,-1,0,-1,11,10,22,8,8,0.023255813953488372,0.0,-0.14850231666400182,-0.11702247930858922,-0.2172421345266402,False,False,False,False
44,2,44,1,0,1,12,10,22,9,8,0.045454545454545456,0.022727272727272728,-0.11043273422358357,-0.07019753988956445,-0.24728164033885447,False,False,False,False
45,2,45,1,0,1,13,10,22,10,8,0.06666666666666667,0.044444444444444446,-0.06725420916320113,-0.01586169774356838,-0.2735449348215382,False,False,False,False
46,2,46,0,-1,0,13,10,23,10,8,0.06521739130434782,0.043478260869565216,-0.06725420916320113,-0.01395422334111407,-0.2735449348215382,False,False,False,False
47,2,47,0,-1,0,13,10,24,10,8,0.06382978723404255,0.0425531914893617,-0.06725420916320113,-0.012036010958841548,-0.2735449348215382,False,False,False,False
48,2,48,1,0,1,14,10,24,11,8,0.08333333333333333,0.0625,-0.017983174328300766,0.052153095270099925,-0.2968391503527674,False,False,False,False
49,2,49,0,-1,0,14,10,25,11,8,0.08163265306122448,0.061224489795918366,-0.017983174328300766,0.05443377772265601,-0.2968391503527674,False,False,False,False
