tolerance,order,eligibility,label,shadow_nb,shadow_nb_lo,shadow_nb_hi,shadow_decision,online_nb,online_nb_lo,online_nb_hi,online_guarded,online_first_deploy,online_first_harm
0.0,success>agent_tokens_completion>n_assistant_tool_calls,absorbing,"primary order, absorbing",0.010204081632653128,-0.1341283767353967,0.15453654000070297,inconclusive,0.08163265306122447,-0.28893188476562504,0.44760925292968745,inconclusive,,
0.0,success>n_assistant_tool_calls>agent_tokens_completion,absorbing,"steps before tokens, absorbing",0.030612244897959218,-0.1134769734263811,0.17470146322229954,inconclusive,0.12244897959183673,-0.2475994873046875,0.48582031249999996,inconclusive,,
0.0,success>duration>agent_tokens_completion,absorbing,"duration as tier 2, absorbing",0.040816326530612235,-0.10454536123083993,0.1861780142920644,inconclusive,0.04081632653061226,-0.32955261230468746,0.4088507080078124,inconclusive,,
0.0,success>agent_tokens_completion>n_assistant_tool_calls,none,"lexicographic, non-absorbing (failures ranked by cost)",0.2755102040816327,0.10441822196483208,0.4466021861984333,B,0.4285714285714286,-0.03838073730468754,0.8279089355468752,inconclusive,,
0.0,agent_tokens_completion>success>n_assistant_tool_calls,none,"token-first (H4), no eligibility mask",0.5918367346938775,0.4522453810185222,0.7314280883692329,B,0.6734693877551021,0.2396466064453125,1.0,inconclusive,,
0.05,success>agent_tokens_completion>n_assistant_tool_calls,absorbing,"primary order, absorbing",0.020408163265306145,-0.12383312815500042,0.1646494546856127,inconclusive,0.08163265306122447,-0.28893188476562504,0.44760925292968745,inconclusive,,
0.05,success>n_assistant_tool_calls>agent_tokens_completion,absorbing,"steps before tokens, absorbing",0.030612244897959218,-0.1134769734263811,0.17470146322229954,inconclusive,0.12244897959183673,-0.2475994873046875,0.48582031249999996,inconclusive,,
0.05,success>duration>agent_tokens_completion,absorbing,"duration as tier 2, absorbing",0.040816326530612235,-0.10454536123083993,0.1861780142920644,inconclusive,0.04081632653061226,-0.32955261230468746,0.4088507080078124,inconclusive,,
0.05,success>agent_tokens_completion>n_assistant_tool_calls,none,"lexicographic, non-absorbing (failures ranked by cost)",0.30612244897959184,0.14076470177551828,0.47148019618366543,B,0.4285714285714286,-0.03838073730468754,0.8279089355468752,inconclusive,,
0.05,agent_tokens_completion>success>n_assistant_tool_calls,none,"token-first (H4), no eligibility mask",0.6326530612244898,0.516215999832168,0.7490901226168116,B,0.6734693877551021,0.2396466064453125,1.0,inconclusive,,
0.1,success>agent_tokens_completion>n_assistant_tool_calls,absorbing,"primary order, absorbing",0.020408163265306145,-0.12383312815500042,0.1646494546856127,inconclusive,0.12244897959183673,-0.2475994873046875,0.48582031249999996,inconclusive,,
0.1,success>n_assistant_tool_calls>agent_tokens_completion,absorbing,"steps before tokens, absorbing",0.030612244897959218,-0.1134769734263811,0.17470146322229954,inconclusive,0.12244897959183673,-0.2475994873046875,0.48582031249999996,inconclusive,,
0.1,success>duration>agent_tokens_completion,absorbing,"duration as tier 2, absorbing",0.040816326530612235,-0.10454536123083993,0.1861780142920644,inconclusive,0.04081632653061226,-0.32955261230468746,0.4088507080078124,inconclusive,,
0.1,success>agent_tokens_completion>n_assistant_tool_calls,none,"lexicographic, non-absorbing (failures ranked by cost)",0.30612244897959184,0.14076470177551828,0.47148019618366543,B,0.46938775510204084,0.0054730224609375044,0.8611175537109377,inconclusive,,
0.1,agent_tokens_completion>success>n_assistant_tool_calls,none,"token-first (H4), no eligibility mask",0.6122448979591836,0.4904338524279658,0.7340559434904014,B,0.7142857142857142,0.2903094482421875,1.0,inconclusive,,
0.2,success>agent_tokens_completion>n_assistant_tool_calls,absorbing,"primary order, absorbing",0.020408163265306145,-0.12383312815500042,0.1646494546856127,inconclusive,0.12244897959183673,-0.2475994873046875,0.48582031249999996,inconclusive,,
0.2,success>n_assistant_tool_calls>agent_tokens_completion,absorbing,"steps before tokens, absorbing",0.030612244897959218,-0.1134769734263811,0.17470146322229954,inconclusive,0.12244897959183673,-0.2475994873046875,0.48582031249999996,inconclusive,,
0.2,success>duration>agent_tokens_completion,absorbing,"duration as tier 2, absorbing",0.056122448979591844,-0.08843767521958842,0.2006825731787721,inconclusive,0.06122448979591838,-0.30527954101562493,0.4246209716796875,inconclusive,,
0.2,success>agent_tokens_completion>n_assistant_tool_calls,none,"lexicographic, non-absorbing (failures ranked by cost)",0.3163265306122449,0.14679212745469386,0.485860933769796,B,0.4489795918367347,-0.011926269531250009,0.8418719482421876,inconclusive,,
0.2,agent_tokens_completion>success>n_assistant_tool_calls,none,"token-first (H4), no eligibility mask",0.5918367346938777,0.4593524733443083,0.724320996043447,B,0.7755102040816326,0.37703186035156255,1.0,inconclusive,,
