task_id,win,loss,tie
1,0.0,0.5,0.5
10,0.0,0.0,1.0
11,0.0,0.5,0.5
12,0.0,0.0,1.0
13,0.5,0.5,0.0
14,0.0,0.0,1.0
15,1.0,0.0,0.0
16,0.0,0.0,1.0
17,0.25,0.5,0.25
18,0.5,0.5,0.0
19,0.5,0.0,0.5
2,0.5,0.0,0.5
20,0.5,0.25,0.25
21,0.25,0.5,0.25
22,0.5,0.0,0.5
23,0.5,0.0,0.5
24,0.5,0.25,0.25
25,0.5,0.25,0.25
26,0.5,0.0,0.5
27,0.0,0.5,0.5
28,0.5,0.25,0.25
29,0.5,0.0,0.5
3,1.0,0.0,0.0
30,0.0,0.5,0.5
31,0.0,0.5,0.5
32,0.0,0.0,1.0
33,0.0,0.5,0.5
34,0.5,0.25,0.25
35,0.0,1.0,0.0
36,0.0,0.5,0.5
37,0.0,0.0,1.0
38,0.25,0.5,0.25
39,0.0,0.5,0.5
4,0.5,0.0,0.5
40,0.25,0.5,0.25
41,0.0,1.0,0.0
42,0.5,0.0,0.5
43,0.5,0.0,0.5
44,0.5,0.0,0.5
45,0.0,0.0,1.0
46,0.0,0.0,1.0
47,0.0,1.0,0.0
48,0.0,0.5,0.5
49,0.5,0.0,0.5
5,0.0,0.5,0.5
6,0.25,0.5,0.25
7,0.5,0.0,0.5
8,0.0,0.0,1.0
9,1.0,0.0,0.0
