0.00.053.391 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.053.682 W srv  llama_server: -----------------
0.00.053.683 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.053.683 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.053.683 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.053.683 W srv  llama_server: -----------------
0.00.055.533 I srv    load_model: loading model '/Users/yukangzengcmac/.cache/huggingface/hub/models--unsloth--Qwen3-4B-Instruct-2507-GGUF/snapshots/a06e946bb6b655725eafa393f4a9745d460374c9/Qwen3-4B-Instruct-2507-Q4_K_M.gguf'
0.00.213.906 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.593.337 I cmn          init: llama threadpool init, n_threads = 4
0.02.076.053 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.02.093.092 I srv  llama_server: model loaded
0.02.093.097 I srv  llama_server: listening on http://127.0.0.1:8082
0.04.056.728 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.056.803 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.04.174.038 I slot print_timing: id  0 | task 0 | prompt eval time =      91.28 ms /    15 tokens (    6.09 ms per token,   164.33 tokens per second)
0.04.174.042 I slot print_timing: id  0 | task 0 |        eval time =      25.93 ms /     2 tokens (   25.93 ms per token,    38.57 tokens per second)
0.04.174.043 I slot print_timing: id  0 | task 0 |       total time =     117.21 ms /    17 tokens
0.04.174.043 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.04.174.096 I slot      release: id  0 | task 0 | stop processing: n_tokens = 16, truncated = 0
0.08.582.668 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 4929927340442
0.08.583.403 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
0.12.735.729 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4096, progress = 0.84, t =   4.15 s / 986.44 tokens per second
0.15.747.017 I slot print_timing: id  0 | task 3 | prompt eval time =    6361.63 ms /  4896 tokens (    1.30 ms per token,   769.61 tokens per second)
