task_id,win,loss,tie
1,0.0,0.5,0.5
10,0.25,0.5,0.25
11,0.0,0.5,0.5
12,0.0,0.0,1.0
13,1.0,0.0,0.0
14,0.0,0.0,1.0
15,0.0,0.0,1.0
16,0.0,0.0,1.0
17,0.0,0.0,1.0
18,0.0,0.0,1.0
19,0.0,0.0,1.0
2,0.5,0.25,0.25
20,0.0,0.0,1.0
21,0.0,0.0,1.0
22,0.0,0.0,1.0
23,0.0,0.0,1.0
24,0.0,0.0,1.0
25,0.0,0.0,1.0
26,0.0,0.0,1.0
27,0.0,1.0,0.0
28,0.5,0.25,0.25
29,0.0,0.0,1.0
3,0.0,0.5,0.5
30,0.5,0.0,0.5
31,0.0,0.5,0.5
32,0.0,0.0,1.0
33,0.0,0.0,1.0
34,0.5,0.25,0.25
35,0.0,0.0,1.0
36,0.25,0.5,0.25
37,0.0,0.0,1.0
38,0.5,0.0,0.5
39,0.0,0.0,1.0
4,0.0,0.5,0.5
40,1.0,0.0,0.0
41,0.0,1.0,0.0
42,0.0,0.0,1.0
43,0.0,0.0,1.0
44,0.0,0.0,1.0
45,0.0,0.0,1.0
46,1.0,0.0,0.0
47,0.0,0.0,1.0
48,0.0,0.0,1.0
49,0.5,0.0,0.5
5,0.0,0.0,1.0
6,0.5,0.0,0.5
7,0.0,0.0,1.0
8,0.0,0.0,1.0
9,0.0,0.5,0.5
