domain,model_a,model_b,task_hash,trial_a,trial_b,seed_a,seed_b,certificate_tick,certificate_direction,certificate_possible_decisive_tiers,certified_sign,a_complete_at_certificate,a_revealed_success,a_assistant_messages_exposed,a_observed_cumulative_cost,a_certified_cost_lower_bound,a_final_cost_if_revealed,a_issued_tool_calls_observed,b_complete_at_certificate,b_revealed_success,b_assistant_messages_exposed,b_observed_cumulative_cost,b_certified_cost_lower_bound,b_final_cost_if_revealed,b_issued_tool_calls_observed
airline,o4-mini,GPT-4.1,7a95011d0bf3,0,1,626729,373753,6,A_win,success|cost,1,True,1,5,0.012844700000000001,0.012844700000000002,0.012844700000000002,2,False,unknown,6,0.0146399999999999990,0.0146399992553395990,unknown,1
airline,o4-mini,GPT-4.1,7a95011d0bf3,0,2,626729,361454,6,A_win,success|cost,1,True,1,5,0.012844700000000001,0.012844700000000002,0.012844700000000002,2,False,unknown,6,0.0144559999999999995,0.0144559992553395995,unknown,1
airline,o4-mini,GPT-4.1,7a95011d0bf3,1,0,373753,626729,6,A_win,success|cost,1,True,1,5,0.0136983000000000016,0.0136983,0.0136983,2,False,unknown,6,0.0194099999999999982,0.0194099992553395982,unknown,1
airline,Claude-3.7,GPT-4.1,7a95011d0bf3,0,3,626729,1567,6,B_win,success|cost,-1,False,unknown,6,0.098631,0.0986309992553396,unknown,2,True,1,5,0.0122419999999999986,0.012242,0.012242,1
airline,Claude-3.7,GPT-4.1,7a95011d0bf3,1,3,373753,1567,6,B_win,success|cost,-1,False,unknown,6,0.094788000000000002,0.094787999255339602,unknown,3,True,1,5,0.0122419999999999986,0.012242,0.012242,1
airline,Claude-3.7,GPT-4.1,7a95011d0bf3,2,0,361454,626729,8,B_win,success|cost,-1,False,unknown,8,0.138297000000000002,0.138296999255339602,unknown,3,True,1,7,0.0228919999999999982,0.022891999999999996,0.022891999999999996,1
airline,o4-mini,Claude-3.7,7a95011d0bf3,0,1,626729,373753,6,A_win,success|cost,1,True,1,5,0.012844700000000001,0.012844700000000002,0.012844700000000002,2,False,unknown,6,0.094788000000000002,0.094787999255339602,unknown,3
airline,o4-mini,Claude-3.7,7a95011d0bf3,0,2,626729,361454,6,A_win,success|cost,1,True,1,5,0.012844700000000001,0.012844700000000002,0.012844700000000002,2,False,unknown,6,0.095055,0.0950549992553396,unknown,2
airline,o4-mini,Claude-3.7,7a95011d0bf3,0,3,626729,1567,6,A_win,success|cost,1,True,1,5,0.012844700000000001,0.012844700000000002,0.012844700000000002,2,False,unknown,6,0.095949000000000002,0.095948999255339602,unknown,2
retail,o4-mini,GPT-4.1,c1583b775a29,2,0,361454,626729,12,A_win,success|cost,1,True,1,11,0.045692900000000002,0.04569290000000001,0.04569290000000001,5,False,unknown,12,0.0540679999999999980,0.0540679992553395980,unknown,6
