scenario,replicates,true_net_benefit,true_success_difference,true_safety_difference,boundary_gate,admissible,method,convention,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_runs_per_arm_used
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,win_only_allpairs_fixed_wald,single gate (convention-free),503,0.0503,0.04618626511967923,0.05475910301490729,10000.0
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,guarded_allpairs_fixed_wald,single look (conventions coincide),503,0.0503,0.04618626511967923,0.05475910301490729,10000.0
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,win_only_allpairs_gs_obf,single gate (convention-free),496,0.0496,0.04551483891184551,0.054031066820459946,9897.1
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,guarded_allpairs_gs_obf_simultaneous,simultaneous (same-look conjunction; paper convention),496,0.0496,0.04551483891184551,0.054031066820459946,9897.1
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,guarded_allpairs_gs_obf_retained,retained (each gate keeps its first crossing),496,0.0496,0.04551483891184551,0.054031066820459946,9897.1
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,win_only_allpairs_gs_pocock,single gate (convention-free),505,0.0505,0.0463781434893128,0.05496707104592546,9730.6
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,guarded_allpairs_gs_pocock_simultaneous,simultaneous (same-look conjunction; paper convention),501,0.0501,0.04599440546592007,0.05455111626801472,9735.3
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,guarded_allpairs_gs_pocock_retained,retained (each gate keeps its first crossing),505,0.0505,0.0463781434893128,0.05496707104592546,9732.2
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,win_only_allpairs_gs_hsd,single gate (convention-free),493,0.0493,0.04522715614597424,0.05371897998535363,9883.5
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,guarded_allpairs_gs_hsd_simultaneous,simultaneous (same-look conjunction; paper convention),491,0.0491,0.045035391683213966,0.053510898047462174,9885.9
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,guarded_allpairs_gs_hsd_retained,retained (each gate keeps its first crossing),493,0.0493,0.04522715614597424,0.05371897998535363,9883.8
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,win_only_allpairs_asympcs_projection_gaussian,single gate (convention-free),243,0.0243,0.021459791775913607,0.027505544273948104,9805.74
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,guarded_allpairs_asympcs_projection_gaussian_simultaneous,simultaneous (same-look conjunction; paper convention),196,0.0196,0.017061812083451283,0.022507133551094786,9853.045
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,guarded_allpairs_asympcs_projection_gaussian_retained,retained (each gate keeps its first crossing),243,0.0243,0.021459791775913607,0.027505544273948104,9814.0
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,win_only_disjoint_gs_obf,single gate (convention-free),538,0.0538,0.04954674862078317,0.05839593152520862,9890.2
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,guarded_disjoint_gs_obf_simultaneous,simultaneous (same-look conjunction; paper convention),538,0.0538,0.04954674862078317,0.05839593152520862,9890.2
null,10000,-3.0913552967470894e-17,0.0,0.0,nb,False,guarded_disjoint_gs_obf_retained,retained (each gate keeps its first crossing),538,0.0538,0.04954674862078317,0.05839593152520862,9890.2
