scenario,method,replicates,deployments,deployment_rate,rate_ci_lower,rate_ci_upper
null,win_only_allpairs_fixed_wald,10000,503,0.0503,0.04618626511967923,0.05475910301490729
null,guarded_allpairs_fixed_wald,10000,503,0.0503,0.04618626511967923,0.05475910301490729
null,win_only_allpairs_gs_obf,10000,496,0.0496,0.04551483891184551,0.054031066820459946
null,guarded_allpairs_gs_obf,10000,496,0.0496,0.04551483891184551,0.054031066820459946
null,guarded_allpairs_gs_obf_simultaneous,10000,496,0.0496,0.04551483891184551,0.054031066820459946
null,win_only_allpairs_gs_pocock,10000,505,0.0505,0.0463781434893128,0.05496707104592546
null,guarded_allpairs_gs_pocock,10000,505,0.0505,0.0463781434893128,0.05496707104592546
null,guarded_allpairs_gs_pocock_simultaneous,10000,501,0.0501,0.04599440546592007,0.05455111626801472
null,win_only_allpairs_gs_hsd,10000,493,0.0493,0.04522715614597424,0.05371897998535363
null,guarded_allpairs_gs_hsd,10000,493,0.0493,0.04522715614597424,0.05371897998535363
null,guarded_allpairs_gs_hsd_simultaneous,10000,491,0.0491,0.045035391683213966,0.053510898047462174
null,win_only_allpairs_asympcs,10000,243,0.0243,0.021459791775913607,0.027505544273948104
null,guarded_allpairs_asympcs,10000,243,0.0243,0.021459791775913607,0.027505544273948104
null,guarded_allpairs_asympcs_simultaneous,10000,196,0.0196,0.017061812083451283,0.022507133551094786
null,win_only_disjoint_gs_obf,10000,538,0.0538,0.04954674862078317,0.05839593152520862
null,guarded_disjoint_gs_obf,10000,538,0.0538,0.04954674862078317,0.05839593152520862
null,win_only_disjoint_betting,10000,92,0.0092,0.007508093306449299,0.011268839494206847
null,guarded_disjoint_betting,10000,91,0.0091,0.0074181785377802605,0.01115883106255002
null,guarded_disjoint_betting_simultaneous,10000,53,0.0053,0.004054522887776702,0.006925405100170722
null,win_only_disjoint_betting_simultaneous,10000,92,0.0092,0.007508093306449299,0.011268839494206847
null,gate_nb_allpairs_fixed_wald,10000,503,0.0503,0.04618626511967923,0.05475910301490729
null,gate_success_allpairs_fixed_wald,10000,9993,0.9993,0.9985556655587302,0.9996608736683119
null,gate_compliance_allpairs_fixed_wald,10000,10000,1.0,0.9996160016293234,1.0
null,gate_nb_allpairs_gs_obf,10000,496,0.0496,0.04551483891184551,0.054031066820459946
null,gate_success_allpairs_gs_obf,10000,9990,0.999,0.9981600556125619,0.9994567140135028
null,gate_compliance_allpairs_gs_obf,10000,10000,1.0,0.9996160016293234,1.0
null,gate_nb_allpairs_gs_pocock,10000,505,0.0505,0.0463781434893128,0.05496707104592546
null,gate_success_allpairs_gs_pocock,10000,9981,0.9981,0.9970342049827606,0.9987832558403712
null,gate_compliance_allpairs_gs_pocock,10000,10000,1.0,0.9996160016293234,1.0
null,gate_nb_allpairs_gs_hsd,10000,493,0.0493,0.04522715614597424,0.05371897998535363
null,gate_success_allpairs_gs_hsd,10000,9990,0.999,0.9981600556125619,0.9994567140135028
null,gate_compliance_allpairs_gs_hsd,10000,10000,1.0,0.9996160016293234,1.0
null,gate_nb_allpairs_asympcs,10000,243,0.0243,0.021459791775913607,0.027505544273948104
null,gate_success_allpairs_asympcs,10000,9847,0.9847,0.9821014234948727,0.9869263284845934
null,gate_compliance_allpairs_asympcs,10000,10000,1.0,0.9996160016293234,1.0
null,gate_nb_disjoint_gs_obf,10000,538,0.0538,0.04954674862078317,0.05839593152520862
null,gate_success_disjoint_gs_obf,10000,9990,0.999,0.9981600556125619,0.9994567140135028
null,gate_compliance_disjoint_gs_obf,10000,10000,1.0,0.9996160016293234,1.0
null,gate_nb_disjoint_betting,10000,92,0.0092,0.007508093306449299,0.011268839494206847
null,gate_success_disjoint_betting,10000,9711,0.9711,0.9676313089835055,0.9742068877516429
null,gate_compliance_disjoint_betting,10000,10000,1.0,0.9996160016293234,1.0
tie_heavy_null,win_only_allpairs_fixed_wald,10000,523,0.0523,0.04810587403933279,0.05683795810177102
tie_heavy_null,guarded_allpairs_fixed_wald,10000,523,0.0523,0.04810587403933279,0.05683795810177102
tie_heavy_null,win_only_allpairs_gs_obf,10000,505,0.0505,0.0463781434893128,0.05496707104592546
tie_heavy_null,guarded_allpairs_gs_obf,10000,505,0.0505,0.0463781434893128,0.05496707104592546
tie_heavy_null,guarded_allpairs_gs_obf_simultaneous,10000,505,0.0505,0.0463781434893128,0.05496707104592546
