scenario,method,gate,threshold,true_value,gate_true,rejections,rejection_rate,rate_ci_lower,rate_ci_upper
null,allpairs_fixed_wald,nb,0.0,-3.0913552967470894e-17,False,114,0.057,0.047662768878229574,0.06803573501296051
null,allpairs_fixed_wald,success,-0.03,0.0,True,1997,0.9985,0.9955989674442294,0.9994897364163615
null,allpairs_fixed_wald,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
null,allpairs_gs_obf,nb,0.0,-3.0913552967470894e-17,False,115,0.0575,0.04812031303342549,0.06857627381048334
null,allpairs_gs_obf,success,-0.03,0.0,True,1997,0.9985,0.9955989674442294,0.9994897364163615
null,allpairs_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
null,allpairs_gs_pocock,nb,0.0,-3.0913552967470894e-17,False,114,0.057,0.047662768878229574,0.06803573501296051
null,allpairs_gs_pocock,success,-0.03,0.0,True,1994,0.997,0.9934700849260646,0.9986243700763698
null,allpairs_gs_pocock,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
null,allpairs_gs_hsd,nb,0.0,-3.0913552967470894e-17,False,114,0.057,0.047662768878229574,0.06803573501296051
null,allpairs_gs_hsd,success,-0.03,0.0,True,1997,0.9985,0.9955989674442294,0.9994897364163615
null,allpairs_gs_hsd,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
null,allpairs_asympcs,nb,0.0,-3.0913552967470894e-17,False,55,0.0275,0.021188498165677007,0.03562311151510701
null,allpairs_asympcs,success,-0.03,0.0,True,1962,0.981,0.974029585433736,0.9861262150816985
null,allpairs_asympcs,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
null,disjoint_gs_obf,nb,0.0,-3.0913552967470894e-17,False,106,0.053,0.04401045720579706,0.06370338306364304
null,disjoint_gs_obf,success,-0.03,0.0,True,1997,0.9985,0.9955989674442294,0.9994897364163615
null,disjoint_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
null,disjoint_betting,nb,0.0,-3.0913552967470894e-17,False,16,0.008,0.0049302968532159265,0.012956077671536958
null,disjoint_betting,success,-0.03,0.0,True,1922,0.961,0.9515939149560816,0.968638567450603
null,disjoint_betting,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,allpairs_fixed_wald,nb,0.0,0.36248777333180304,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,allpairs_fixed_wald,success,-0.03,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944
efficiency_gain,allpairs_fixed_wald,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,allpairs_gs_obf,nb,0.0,0.36248777333180304,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,allpairs_gs_obf,success,-0.03,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944
efficiency_gain,allpairs_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,allpairs_gs_pocock,nb,0.0,0.36248777333180304,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,allpairs_gs_pocock,success,-0.03,0.0,True,1995,0.9975,0.9941608466835673,0.9989316912715861
efficiency_gain,allpairs_gs_pocock,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,allpairs_gs_hsd,nb,0.0,0.36248777333180304,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,allpairs_gs_hsd,success,-0.03,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944
efficiency_gain,allpairs_gs_hsd,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,allpairs_asympcs,nb,0.0,0.36248777333180304,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,allpairs_asympcs,success,-0.03,0.0,True,1963,0.9815,0.9746052332822633,0.9865486501858901
efficiency_gain,allpairs_asympcs,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,disjoint_gs_obf,nb,0.0,0.36248777333180304,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,disjoint_gs_obf,success,-0.03,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944
efficiency_gain,disjoint_gs_obf,compliance,-0.01,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,disjoint_betting,nb,0.0,0.36248777333180304,True,2000,1.0,0.9980829527187469,0.9999999999999998
efficiency_gain,disjoint_betting,success,-0.03,0.0,True,1933,0.9665,0.9576766713572294,0.9735347235293615
