scenario,method,replicates,max_runs_per_arm,true_net_benefit,true_success_difference,true_safety_difference,admissible,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_runs_per_arm_used,mean_runs_mcse,median_runs_among_deployments
null,win_only_allpairs_fixed_wald,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,114,0.057,0.047662768878229574,0.06803573501296051,10000.0,0.0,10000.0
null,guarded_allpairs_fixed_wald,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,114,0.057,0.047662768878229574,0.06803573501296051,10000.0,0.0,10000.0
null,win_only_allpairs_gs_obf,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,115,0.0575,0.04812031303342549,0.06857627381048334,9893.5,13.288298423801296,9000.0
null,guarded_allpairs_gs_obf,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,115,0.0575,0.04812031303342549,0.06857627381048334,9893.5,13.288298423801296,9000.0
null,guarded_allpairs_gs_obf_simultaneous,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,115,0.0575,0.04812031303342549,0.06857627381048334,9893.5,13.288298423801296,9000.0
null,win_only_allpairs_gs_pocock,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,114,0.057,0.047662768878229574,0.06803573501296051,9699.5,31.322513867823574,4000.0
null,guarded_allpairs_gs_pocock,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,114,0.057,0.047662768878229574,0.06803573501296051,9701.0,31.12554417194983,4000.0
null,guarded_allpairs_gs_pocock_simultaneous,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,112,0.056,0.04674833393876454,0.06695400404698805,9709.5,30.586841533574532,4000.0
null,win_only_allpairs_gs_hsd,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,114,0.057,0.047662768878229574,0.06803573501296051,9881.5,16.331836240913024,9000.0
null,guarded_allpairs_gs_hsd,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,114,0.057,0.047662768878229574,0.06803573501296051,9882.0,16.203024409041664,9000.0
null,guarded_allpairs_gs_hsd_simultaneous,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,113,0.0565,0.04720544161779262,0.06749497932067872,9886.0,15.716297273849207,9000.0
null,win_only_allpairs_asympcs,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,55,0.0275,0.021188498165677007,0.03562311151510701,9774.65,30.75040550545645,800.0
null,guarded_allpairs_asympcs,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,55,0.0275,0.021188498165677007,0.03562311151510701,9781.375,29.805510055818537,1200.0
null,guarded_allpairs_asympcs_simultaneous,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,47,0.0235,0.017718224361690932,0.031108721697343113,9815.625,27.30812250389067,1250.0
null,win_only_disjoint_gs_obf,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,106,0.053,0.04401045720579706,0.06370338306364304,9884.5,13.877315122169705,8000.0
null,guarded_disjoint_gs_obf,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,106,0.053,0.04401045720579706,0.06370338306364304,9884.5,13.877315122169705,8000.0
null,win_only_disjoint_betting,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,16,0.008,0.0049302968532159265,0.012956077671536958,9945.425,15.06146273399447,1900.0
null,guarded_disjoint_betting,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,16,0.008,0.0049302968532159265,0.012956077671536958,9947.75,14.349476253508348,2450.0
null,guarded_disjoint_betting_simultaneous,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,12,0.006,0.003435594376936234,0.010458448336941664,9965.325,11.361698692866783,2900.0
null,win_only_disjoint_betting_simultaneous,2000,10000,-3.0913552967470894e-17,0.0,0.0,False,16,0.008,0.0049302968532159265,0.012956077671536958,9945.425,15.06146273399447,1900.0
efficiency_gain,win_only_allpairs_fixed_wald,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,10000.0,0.0,10000.0
efficiency_gain,guarded_allpairs_fixed_wald,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,10000.0,0.0,10000.0
efficiency_gain,win_only_allpairs_gs_obf,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
efficiency_gain,guarded_allpairs_gs_obf,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,4467.5,28.878571207731174,4000.0
efficiency_gain,guarded_allpairs_gs_obf_simultaneous,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,4469.0,28.879395769302377,4000.0
efficiency_gain,win_only_allpairs_gs_pocock,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
efficiency_gain,guarded_allpairs_gs_pocock,2000,10000,0.36248777333180304,0.0,0.0,True,1995,0.9975,0.9941608466835673,0.9989316912715861,3101.5,38.07359813571604,3000.0
efficiency_gain,guarded_allpairs_gs_pocock_simultaneous,2000,10000,0.36248777333180304,0.0,0.0,True,1995,0.9975,0.9941608466835673,0.9989316912715861,3113.5,38.12884570767911,3000.0
efficiency_gain,win_only_allpairs_gs_hsd,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,1000.0,0.0,1000.0
efficiency_gain,guarded_allpairs_gs_hsd,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,3923.5,36.64456132907038,4000.0
efficiency_gain,guarded_allpairs_gs_hsd_simultaneous,2000,10000,0.36248777333180304,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,3932.0,36.588085492411324,4000.0
efficiency_gain,win_only_allpairs_asympcs,2000,10000,0.36248777333180304,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,105.825,0.3887926021672732,100.0
